condition,level,transmit_rate,rl_skip_rate,natural_missing_rate,n_steps_executed,n_steps,n_sensors,mean_aoi,mean_reward,packet_delivery_ratio
packet_loss,0.0,0.6171428571428571,0.38285714285714284,0.07407407407407407,63,64,6,0.8333333134651184,-0.1808406871322461,1.8305084745762712
packet_loss,0.1,0.60062893081761,0.39937106918238996,0.15873015873015872,63,64,6,0.8333333134651184,-0.18883886863025245,1.7850467289719627
packet_loss,0.2,0.5888888888888889,0.4111111111111111,0.2857142857142857,63,64,6,0.8333333134651184,-0.21191364076925726,1.7666666666666666
missingness,0.1,0.6095238095238096,0.3904761904761905,0.07407407407407407,63,64,6,0.8333333134651184,-0.20589775320625345,1.8461538461538463
missingness,0.2,0.6097560975609756,0.3902439024390244,0.07407407407407407,63,64,6,0.8333333134651184,-0.23212352064201092,1.7676767676767677
missingness,0.4,0.6171171171171171,0.38288288288288286,0.07407407407407407,63,64,6,1.0,-0.30886696934835506,1.7792207792207793
missingness,0.6,0.6153846153846154,0.38461538461538464,0.07407407407407407,63,64,6,1.1666666269302368,-0.4248746133842074,1.6296296296296295
event_threshold,800.0,0.6171428571428571,0.38285714285714284,0.07407407407407407,63,64,6,0.8333333134651184,-0.22137566655611443,1.8305084745762712
event_threshold,1000.0,0.6171428571428571,0.38285714285714284,0.07407407407407407,63,64,6,0.8333333134651184,-0.1808406871322461,1.8305084745762712
event_threshold,1200.0,0.6171428571428571,0.38285714285714284,0.07407407407407407,63,64,6,0.8333333134651184,-0.1808406871322461,1.8305084745762712
event_threshold,1500.0,0.6171428571428571,0.38285714285714284,0.07407407407407407,63,64,6,0.8333333134651184,-0.1808406871322461,1.8305084745762712
