ablation,split,mean_reward,transmit_rate,rl_skip_rate,natural_missing_rate,shield_overrides
full,val,-0.09008900029919374,0.2577092511013216,0.7422907488986784,0.4325,0.0
no_graph,val,-0.09008900029919374,0.2577092511013216,0.7422907488986784,0.4325,0.0
no_motion,val,-0.09008900029919374,0.2577092511013216,0.7422907488986784,0.4325,0.0
no_network,val,-0.09008900029919374,0.2577092511013216,0.7422907488986784,0.4325,0.0
no_uncertainty,val,-0.08080011796385211,0.2577092511013216,0.7422907488986784,0.4325,0.0
no_aoi,val,-0.07400039390756309,0.2577092511013216,0.7422907488986784,0.4325,0.0
no_semantic,val,-0.19992573105631134,0.2577092511013216,0.7422907488986784,0.4325,0.0
no_safety_shield,val,-0.0869061321334089,0.23898678414096916,0.7610132158590308,0.4325,0.0
independent_vs_marl,val,-0.09008900029919374,0.2577092511013216,0.7422907488986784,0.4325,0.0
spatial_vs_correlation_vs_hybrid,val,-0.09008900029919374,0.2577092511013216,0.7422907488986784,0.4325,0.0
fixed_vs_heuristic_vs_rl,val,-0.09008900029919374,0.2577092511013216,0.7422907488986784,0.4325,0.0
reconstruction_only_vs_recon_plus_rl,val,-0.09008900029919374,0.2577092511013216,0.7422907488986784,0.4325,0.0
rl_without_event_awareness,val,-0.09008900029919374,0.2577092511013216,0.7422907488986784,0.4325,0.0
