scenario,split,cohort,method,configuration,packet_loss,target_reduction,n_policies,n_loss_masks,n_eval_rows,source,result_source,runs,n_runs,aggregation,n_available_mean,n_available_std,n_tx_attempts_mean,n_tx_attempts_std,n_delivered_mean,n_delivered_std,transmission_rate_mean,transmission_rate_std,transmission_reduction_mean,transmission_reduction_std,mae_mean,mae_std,event_tp_mean,event_tp_std,event_fp_mean,event_fp_std,event_fn_mean,event_fn_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,aoi_raw_mean,aoi_raw_std,n_true_events_mean,n_true_events_std,mae_pass_count,mae_pass_count_n,mae_ok_kn,mae_ok,event_pass_count,event_pass_count_n,event_ok_kn,event_ok,aoi_pass_count,aoi_pass_count_n,aoi_ok_kn,aoi_ok,all_constraints_pass_count,all_constraints_pass_count_n,all_constraints_satisfied_kn,all_constraints_satisfied,constraint_display
packet_loss,val,final,cmappo_kl,tau=0.5,0.0,,5,1,5,revision_eval,new_evaluation,"123,2024,3407,42,9999",5,mean_over_masks_then_sd_across_policies,206815.0,0.0,45933.2,1497.5488973652912,45933.2,1497.5488973652912,0.2220980102990595,0.007241007167590813,0.7779019897009405,0.007241007167590802,8.742403611902981,0.13828572702839373,821.4,1.140175425099138,12.6,5.412947441089743,4.6,1.1401754250991378,0.9849194370427231,0.006367973977900219,0.9944309927360775,0.0013803576575049511,0.9896465943715731,0.0038042418624563267,1.927891463225004,0.08305142533727662,826.0,0.0,5,5,5/5,True,5,5,5/5,True,5,5,5/5,True,5,5,5/5,True,5/5
packet_loss,val,final,cmappo_kl,tau=0.5,0.1,,5,5,25,revision_eval,new_evaluation,"123,2024,3407,42,9999",5,mean_over_masks_then_sd_across_policies,206815.0,0.0,49505.6,1574.1729129927246,44577.31999999999,1415.1669272562865,0.23937141890095007,0.007611502613411611,0.7606285810990497,0.007611502613411682,8.976431643980769,0.13431880580616942,815.6400000000001,0.654217089351867,26.360000000000003,4.003498470088381,10.360000000000001,0.6542170893518447,0.9687206519803292,0.004603294620392904,0.9874576271186442,0.0007920303745179112,0.9779943642468891,0.002700242659864159,1.9978389053024412,0.08253911277641882,826.0,0.0,3,5,3/5,False,5,5,5/5,True,5,5,5/5,True,3,5,3/5,False,3/5
packet_loss,val,final,cmappo_kl,tau=0.5,0.2,,5,5,25,revision_eval,new_evaluation,"123,2024,3407,42,9999",5,mean_over_masks_then_sd_across_policies,206815.0,0.0,53796.240000000005,1662.7553602379396,43059.479999999996,1331.095568319571,0.260117689722699,0.008039819936841813,0.7398823102773008,0.008039819936841833,9.252819221398074,0.12991693869209456,805.72,0.26832815729997644,39.0,2.817800560721075,20.28,0.2683281572999749,0.9538509912750562,0.003175999934984411,0.9754479418886198,0.00032485249067797534,0.9645182603095714,0.0017758604855475908,2.087392162960659,0.08211113306234519,826.0,0.0,0,5,0/5,False,0,5,0/5,False,5,5,5/5,True,0,5,0/5,False,0/5
packet_loss,val,final,cmappo_kl,tau=0.5,0.4,,5,5,25,revision_eval,new_evaluation,"123,2024,3407,42,9999",5,mean_over_masks_then_sd_across_policies,206815.0,0.0,65297.159999999996,1807.3138709145112,39235.159999999996,1112.9313761414046,0.31572738921258126,0.008738794917750202,0.6842726107874186,0.008738794917750224,9.974754716259318,0.10594329950841666,782.5999999999999,0.4898979485566542,69.75999999999999,3.7132196272237934,43.400000000000006,0.4898979485566368,0.9181908839166685,0.004040131542449443,0.9474576271186441,0.0005930967900202277,0.9325760057460831,0.0023615064069213948,2.3704554501632717,0.08059917897424752,826.0,0.0,0,5,0/5,False,0,5,0/5,False,5,5,5/5,True,0,5,0/5,False,0/5
packet_loss,val,final,delta_plus_heartbeat,"delta_ppm=25,heartbeat=3",0.0,,1,1,1,revision_eval,new_evaluation,deterministic,1,single_run,206815.0,0.0,56198.0,0.0,56198.0,0.0,0.2717307738800377,0.0,0.7282692261199624,0.0,9.224011897727348,0.0,818.0,0.0,43.0,0.0,8.0,0.0,0.9500580720092916,0.0,0.9903147699757868,0.0,0.9697688203912268,0.0,1.4430765044316591,0.0,826.0,0.0,0,1,0/1,False,1,1,1/1,True,1,1,1/1,True,0,1,0/1,False,0/1
packet_loss,val,final,delta_plus_heartbeat,"delta_ppm=25,heartbeat=3",0.1,,1,5,5,revision_eval,new_evaluation,deterministic,5,mean_sd_across_shared_loss_masks,206815.0,0.0,60294.8,43.20532374603852,54259.6,44.30914126904289,0.291539781930711,0.00020890807603916943,0.708460218069289,0.00020890807603910885,9.493247522932602,0.01571508389067244,810.6,2.073644135332772,55.6,4.560701700396551,15.4,2.073644135332772,0.9358290257974143,0.004963286075363132,0.9813559322033898,0.002510465054882247,0.9580471636338039,0.003238671524093604,1.515798476131239,0.0015162957534635808,826.0,0.0,0,5,0/5,False,0,5,0/5,False,5,5,5/5,True,0,5,0/5,False,0/5
packet_loss,val,final,delta_plus_heartbeat,"delta_ppm=25,heartbeat=3",0.2,,1,5,5,revision_eval,new_evaluation,deterministic,5,mean_sd_across_shared_loss_masks,206815.0,0.0,65078.0,54.101755978895916,52114.0,62.3377895020348,0.31466769818436763,0.00026159493256725283,0.6853323018156323,0.0002615949325672595,9.77803794690646,0.021748165098443458,800.0,2.8284271247461903,67.2,6.978538528947161,26.0,2.8284271247461903,0.9225527979306252,0.007485482520054771,0.9685230024213075,0.0034242459137363433,0.9449669003552094,0.004593039260910378,1.610409734100451,0.001398211111280504,826.0,0.0,0,5,0/5,False,0,5,0/5,False,5,5,5/5,True,0,5,0/5,False,0/5
packet_loss,val,final,delta_plus_heartbeat,"delta_ppm=25,heartbeat=3",0.4,,1,5,5,revision_eval,new_evaluation,deterministic,5,mean_sd_across_shared_loss_masks,206815.0,0.0,77855.2,128.4355869687214,46782.8,87.81628550559401,0.37644851679036817,0.0006210167877993378,0.6235514832096317,0.0006210167877993566,10.499814983398974,0.029928681065074587,777.4,7.021395872616783,93.8,6.1400325732035,48.6,7.021395872616783,0.8923666647301826,0.006205094913729055,0.9411622276029055,0.008500479264669215,0.9160915288315428,0.00522518515204946,1.908301974809517,0.0033607772675577534,826.0,0.0,0,5,0/5,False,0,5,0/5,False,5,5,5/5,True,0,5,0/5,False,0/5
packet_loss,val,final,fixed_60,interval_steps=4 (60 min),0.0,,1,1,1,revision_eval,new_evaluation,deterministic,1,single_run,206815.0,0.0,51149.0,0.0,51149.0,0.0,0.2473176510407852,0.0,0.7526823489592147,0.0,11.335269101794868,0.0,733.0,0.0,123.0,0.0,93.0,0.0,0.8563084112149533,0.0,0.887409200968523,0.0,0.8715814506539834,0.0,1.88528611413466,0.0,826.0,0.0,0,1,0/1,False,0,1,0/1,False,1,1,1/1,True,0,1,0/1,False,0/1
packet_loss,val,final,fixed_60,interval_steps=4 (60 min),0.1,,1,5,5,revision_eval,new_evaluation,deterministic,5,mean_sd_across_shared_loss_masks,206815.0,0.0,51149.0,0.0,45965.6,55.73419058351884,0.2473176510407852,0.0,0.7526823489592147,0.0,11.89060208616156,0.030371641239594908,726.6,7.021395872616783,132.6,6.8044103344816005,99.4,7.021395872616783,0.8457198844458231,0.006247009386620521,0.8796610169491526,0.008500479264669234,0.8623246858311383,0.004516119554100087,2.3414033587311462,0.0076490398720640475,826.0,0.0,0,5,0/5,False,0,5,0/5,False,5,5,5/5,True,0,5,0/5,False,0/5
