scenario,split,cohort,method,configuration,run,checkpoint,packet_loss,target_reduction,n_available,n_tx_attempts,n_delivered,transmission_rate,transmission_reduction,mae,event_tp,event_fp,event_fn,precision,recall,f1,aoi_raw,mae_ok,event_ok,aoi_ok,all_constraints_satisfied,n_true_events,aggregation,source,packet_loss_mode,notes,policy_run,loss_mask_id,result_source,prob_threshold
matched_budget_tau_sweep,val,final,cmappo_kl,tau=0.40,42,C:\Users\test\Desktop\CAMPUS-SenseRL\results\rl_final\cmappo_kl\seed_42\best_model.pt,0.0,,206815.0,48785.0,48785.0,0.2358871455165244,0.7641128544834755,8.336923368980573,824.0,6.0,2.0,0.9927710843373494,0.9975786924939468,0.9951690821256038,1.80762323122376,True,True,True,True,826.0,single_run,revision_eval,none,Direct VAL tau sweep on frozen actor; no interpolation,42,,direct_measured,0.4
matched_budget_tau_sweep,val,final,cmappo_kl,tau=0.40,123,C:\Users\test\Desktop\CAMPUS-SenseRL\results\rl_final\cmappo_kl\seed_123\best_model.pt,0.0,,206815.0,52565.0,52565.0,0.2541643497812054,0.7458356502187946,7.843954619124798,825.0,5.0,1.0,0.993975903614458,0.9987893462469734,0.9963768115942028,1.6858459026589956,True,True,True,True,826.0,single_run,revision_eval,none,Direct VAL tau sweep on frozen actor; no interpolation,123,,direct_measured,0.4
matched_budget_tau_sweep,val,final,cmappo_kl,tau=0.40,2024,C:\Users\test\Desktop\CAMPUS-SenseRL\results\rl_final\cmappo_kl\seed_2024\best_model.pt,0.0,,206815.0,49644.0,49644.0,0.240040616009477,0.759959383990523,8.173747065298306,824.0,6.0,2.0,0.9927710843373494,0.9975786924939468,0.9951690821256038,1.7924700668636293,True,True,True,True,826.0,single_run,revision_eval,none,Direct VAL tau sweep on frozen actor; no interpolation,2024,,direct_measured,0.4
matched_budget_tau_sweep,val,final,cmappo_kl,tau=0.40,3407,C:\Users\test\Desktop\CAMPUS-SenseRL\results\rl_final\cmappo_kl\seed_3407\best_model.pt,0.0,,206815.0,50909.0,50909.0,0.2461571936271547,0.7538428063728453,8.000949289956768,825.0,4.0,1.0,0.9951749095295536,0.9987893462469734,0.996978851963746,1.7495451718239776,True,True,True,True,826.0,single_run,revision_eval,none,Direct VAL tau sweep on frozen actor; no interpolation,3407,,direct_measured,0.4
matched_budget_tau_sweep,val,final,cmappo_kl,tau=0.40,9999,C:\Users\test\Desktop\CAMPUS-SenseRL\results\rl_final\cmappo_kl\seed_9999\best_model.pt,0.0,,206815.0,51161.0,51161.0,0.2473756739114667,0.7526243260885332,7.994468500648875,824.0,4.0,2.0,0.9951690821256038,0.9975786924939468,0.996372430471584,1.7264227958326854,True,True,True,True,826.0,single_run,revision_eval,none,Direct VAL tau sweep on frozen actor; no interpolation,9999,,direct_measured,0.4
matched_budget_tau_sweep,val,final,cmappo_kl,tau=0.45,42,C:\Users\test\Desktop\CAMPUS-SenseRL\results\rl_final\cmappo_kl\seed_42\best_model.pt,0.0,,206815.0,46799.0,46799.0,0.2262843604187317,0.7737156395812683,8.678807119288072,821.0,11.0,5.0,0.986778846153846,0.9939467312348668,0.9903498190591074,1.871991136681698,True,True,True,True,826.0,single_run,revision_eval,none,Direct VAL tau sweep on frozen actor; no interpolation,42,,direct_measured,0.45
matched_budget_tau_sweep,val,final,cmappo_kl,tau=0.45,123,C:\Users\test\Desktop\CAMPUS-SenseRL\results\rl_final\cmappo_kl\seed_123\best_model.pt,0.0,,206815.0,49603.0,49603.0,0.2398423712013151,0.7601576287986849,8.204233773503296,824.0,4.0,2.0,0.9951690821256038,0.9975786924939468,0.996372430471584,1.7825299331363706,True,True,True,True,826.0,single_run,revision_eval,none,Direct VAL tau sweep on frozen actor; no interpolation,123,,direct_measured,0.45
matched_budget_tau_sweep,val,final,cmappo_kl,tau=0.45,2024,C:\Users\test\Desktop\CAMPUS-SenseRL\results\rl_final\cmappo_kl\seed_2024\best_model.pt,0.0,,206815.0,46962.0,46962.0,0.2270725044121558,0.7729274955878442,8.483218957417128,822.0,10.0,4.0,0.9879807692307692,0.9951573849878934,0.991556091676719,1.9022547037785729,True,True,True,True,826.0,single_run,revision_eval,none,Direct VAL tau sweep on frozen actor; no interpolation,2024,,direct_measured,0.45
matched_budget_tau_sweep,val,final,cmappo_kl,tau=0.45,3407,C:\Users\test\Desktop\CAMPUS-SenseRL\results\rl_final\cmappo_kl\seed_3407\best_model.pt,0.0,,206815.0,48533.0,48533.0,0.2346686652322123,0.7653313347677877,8.375784991344561,824.0,6.0,2.0,0.9927710843373494,0.9975786924939468,0.9951690821256038,1.8202962214274607,True,True,True,True,826.0,single_run,revision_eval,none,Direct VAL tau sweep on frozen actor; no interpolation,3407,,direct_measured,0.45
matched_budget_tau_sweep,val,final,cmappo_kl,tau=0.45,9999,C:\Users\test\Desktop\CAMPUS-SenseRL\results\rl_final\cmappo_kl\seed_9999\best_model.pt,0.0,,206815.0,48676.0,48676.0,0.2353601044411672,0.7646398955588327,8.344544988902168,823.0,6.0,3.0,0.9927623642943304,0.99636803874092,0.9945619335347432,1.8056017726636604,True,True,True,True,826.0,single_run,revision_eval,none,Direct VAL tau sweep on frozen actor; no interpolation,9999,,direct_measured,0.45
matched_budget_tau_sweep,val,final,cmappo_kl,tau=0.55,42,C:\Users\test\Desktop\CAMPUS-SenseRL\results\rl_final\cmappo_kl\seed_42\best_model.pt,0.0,,206815.0,41523.0,41523.0,0.2007736382757537,0.7992263617242463,9.166202841032838,820.0,25.0,6.0,0.970414201183432,0.9927360774818402,0.981448234590066,2.1618566319390453,False,True,True,False,826.0,single_run,revision_eval,none,Direct VAL tau sweep on frozen actor; no interpolation,42,,direct_measured,0.55
matched_budget_tau_sweep,val,final,cmappo_kl,tau=0.55,123,C:\Users\test\Desktop\CAMPUS-SenseRL\results\rl_final\cmappo_kl\seed_123\best_model.pt,0.0,,206815.0,45248.0,45248.0,0.2187849043831443,0.7812150956168556,8.816763324193678,821.0,15.0,5.0,0.9820574162679426,0.9939467312348668,0.9879663056558364,1.9505248017415644,True,True,True,True,826.0,single_run,revision_eval,none,Direct VAL tau sweep on frozen actor; no interpolation,123,,direct_measured,0.55
matched_budget_tau_sweep,val,final,cmappo_kl,tau=0.55,2024,C:\Users\test\Desktop\CAMPUS-SenseRL\results\rl_final\cmappo_kl\seed_2024\best_model.pt,0.0,,206815.0,42311.0,42311.0,0.2045838067838406,0.7954161932161594,9.013622769051208,820.0,18.0,6.0,0.9785202863961814,0.9927360774818402,0.985576923076923,2.1368605193593533,False,True,True,False,826.0,single_run,revision_eval,none,Direct VAL tau sweep on frozen actor; no interpolation,2024,,direct_measured,0.55
matched_budget_tau_sweep,val,final,cmappo_kl,tau=0.55,3407,C:\Users\test\Desktop\CAMPUS-SenseRL\results\rl_final\cmappo_kl\seed_3407\best_model.pt,0.0,,206815.0,43878.0,43878.0,0.2121606266470033,0.7878393733529967,8.935054653025402,820.0,14.0,6.0,0.9832134292565948,0.9927360774818402,0.9879518072289156,2.038749805628985,True,True,True,True,826.0,single_run,revision_eval,none,Direct VAL tau sweep on frozen actor; no interpolation,3407,,direct_measured,0.55
matched_budget_tau_sweep,val,final,cmappo_kl,tau=0.55,9999,C:\Users\test\Desktop\CAMPUS-SenseRL\results\rl_final\cmappo_kl\seed_9999\best_model.pt,0.0,,206815.0,44749.0,44749.0,0.2163721200106375,0.7836278799893625,8.947891599718632,820.0,20.0,6.0,0.9761904761904762,0.9927360774818402,0.9843937575030012,1.964441766443788,True,True,True,True,826.0,single_run,revision_eval,none,Direct VAL tau sweep on frozen actor; no interpolation,9999,,direct_measured,0.55
