step,metric,mean,sd,n_runs
1024,lam_m,2.0081950997322977,0.0010403203429242833,5
2048,lam_m,2.02607183391613,0.0014704969590551666,5
3072,lam_m,2.036155685786489,0.0021401656988103463,5
4096,lam_m,2.0369972770568583,0.0017175719377081687,5
5120,lam_m,2.031188187034414,0.0015690020987121902,5
6144,lam_m,2.027433343523224,0.0021169283919925943,5
7168,lam_m,2.0326328868487638,0.00263758816952614,5
8192,lam_m,2.0384352245686195,0.0031779782662559215,5
9216,lam_m,2.00688909685627,0.003088301868290777,5
10240,lam_m,2.0170632041651118,0.0029996854014451495,5
11264,lam_m,2.0135753654589097,0.0031614587782704973,5
12288,lam_m,2.0210058561942863,0.002789802845950565,5
13312,lam_m,2.024234372368234,0.002667025019420034,5
14336,lam_m,2.030563555605485,0.003229712801735064,5
15360,lam_m,2.028833060201918,0.003567080507397231,5
16384,lam_m,2.0351618984502813,0.004040207771361745,5
17408,lam_m,2.011438606170047,0.0041958817306141346,5
18432,lam_m,1.9633534058073117,0.004317710781580744,5
19456,lam_m,1.969628378589125,0.004513289189844883,5
20480,lam_m,1.9703832375705836,0.004318815717816889,5
21504,lam_m,1.9921557565372539,0.0051081188632934454,5
22528,lam_m,1.9976617336389708,0.005307844162071968,5
23552,lam_m,2.0004155952731018,0.005787702941090344,5
24576,lam_m,1.9857729302216343,0.006379697944667885,5
25600,lam_m,1.9913214481917674,0.007092419388150629,5
26624,lam_m,1.995019132944274,0.00693276243625917,5
27648,lam_m,1.9964227988671794,0.007332103299656495,5
28672,lam_m,1.9706452810421038,0.00784135859906025,5
29696,lam_m,1.97821971972235,0.008312173918724207,5
30720,lam_m,1.9771230698231677,0.008804017793761275,5
31744,lam_m,1.9814467224391108,0.009027297536716461,5
32768,lam_m,1.9867734300201925,0.009834294400508922,5
33792,lam_m,1.9916447080822777,0.00995321916133916,5
34816,lam_m,1.9925217711802758,0.00990026347124753,5
35840,lam_m,1.993588061395424,0.009093206736792222,5
36864,lam_m,1.9601830374548121,0.00896687639410122,5
37888,lam_m,1.9210164993410601,0.008712278898733281,5
38912,lam_m,1.9286352185441409,0.00918520347098786,5
39936,lam_m,1.9313173840291014,0.009883596672556595,5
40960,lam_m,1.9477043610238973,0.011374385854073023,5
41984,lam_m,1.952587681230948,0.011631409084339309,5
43008,lam_m,1.9525168947557567,0.012540494905876368,5
44032,lam_m,1.9387119972170335,0.013144708683786196,5
45056,lam_m,1.9413710021376651,0.013682891847687709,5
46080,lam_m,1.9464171539661739,0.014066906162689598,5
47104,lam_m,1.9330168009773918,0.014391212176319465,5
48128,lam_m,1.919893706143462,0.014519034129075282,5
49152,lam_m,1.9231105146322605,0.014838424443371839,5
50176,lam_m,1.9242822268198219,0.015121037563822947,5
51200,lam_m,1.924761518746837,0.015383449283865536,5
52224,lam_m,1.931691299967622,0.01581170301113501,5
53248,lam_m,1.9325576897328987,0.016411007797736164,5
54272,lam_m,1.9330545074006522,0.016540912146268526,5
55296,lam_m,1.9316021528022786,0.01688080135825425,5
56320,lam_m,1.8873889613546926,0.016863113860679,5
57344,lam_m,1.8589168869735722,0.0171620329151365,5
58368,lam_m,1.862468469883808,0.017217150270093167,5
59392,lam_m,1.8719001308790095,0.017799972301299847,5
60000,lam_m,1.8818386225902664,0.01806214426158029,5
1024,lam_e,0.9987999999999999,1.2412670766236366e-16,5
2048,lam_e,0.9976713541666667,4.9362526993478566e-05,5
3072,lam_e,0.9966588541666667,0.00010507175153636337,5
4096,lam_e,0.9954744791666666,0.00013611411439515378,5
5120,lam_e,0.9944463541666668,0.0002117985736411485,5
6144,lam_e,0.9933713541666667,0.00034125192172007655,5
7168,lam_e,0.9922416666666667,0.0003167401680219954,5
8192,lam_e,0.9912604166666666,0.00023461973622689107,5
9216,lam_e,0.9902010416666667,0.0002569485867370301,5
10240,lam_e,0.9892119791666666,0.00026947997952383567,5
11264,lam_e,0.9881838541666665,0.00031561409540091365,5
12288,lam_e,0.9873197916666665,0.00035060319542217026,5
13312,lam_e,0.9863984374999999,0.00038572161183703693,5
14336,lam_e,0.9854640624999998,0.0003833672549954597,5
15360,lam_e,0.9845140625,0.00038191837722762915,5
16384,lam_e,0.9834078124999998,0.0004036221011169066,5
17408,lam_e,0.9822078124999999,0.0004036221011169066,5
18432,lam_e,0.9810234374999999,0.00039875374670343027,5
19456,lam_e,0.9798859375,0.00040362210111690664,5
20480,lam_e,0.9786859374999999,0.0004036221011169066,5
21504,lam_e,0.9776734374999998,0.0003877207575001174,5
22528,lam_e,0.9765359374999999,0.0004296494222396432,5
23552,lam_e,0.9753828124999998,0.00042360495196318835,5
24576,lam_e,0.9744249999999999,0.0003784936990195589,5
25600,lam_e,0.9733578125,0.0004317985939884577,5
26624,lam_e,0.9722749999999998,0.00039510817107617533,5
27648,lam_e,0.9712156249999998,0.000452521636426891,5
28672,lam_e,0.9701640624999998,0.0004359135033593572,5
29696,lam_e,0.9692609374999999,0.0004041761888778256,5
30720,lam_e,0.9682484374999998,0.0003804439285053075,5
31744,lam_e,0.9673609374999999,0.00029984607279729373,5
32768,lam_e,0.9664187499999997,0.00033870113431699205,5
33792,lam_e,0.9654687499999998,0.0002926349371392674,5
34816,lam_e,0.9644093749999998,0.00032887258792849014,5
35840,lam_e,0.9632562499999997,0.0002985200333993664,5
36864,lam_e,0.9620562499999998,0.00029852003339936637,5
37888,lam_e,0.9608874999999998,0.00031985618114519876,5
38912,lam_e,0.9597031249999997,0.00033440912217190955,5
39936,lam_e,0.9585031249999998,0.0003344091221719095,5
40960,lam_e,0.9574687499999998,0.0002985052665389247,5
41984,lam_e,0.9563468749999998,0.00028604077047536633,5
43008,lam_e,0.9552015624999998,0.0002957879403261264,5
44032,lam_e,0.9541499999999997,0.0003284993937148696,5
45056,lam_e,0.9530281249999998,0.0002890478365275785,5
46080,lam_e,0.9518906249999997,0.00031214443747749497,5
47104,lam_e,0.9507531249999998,0.00026219768574613873,5
48128,lam_e,0.9497093749999997,0.0003511740716855071,5
49152,lam_e,0.9488062499999996,0.0003480461686690621,5
50176,lam_e,0.9478874999999997,0.00040353871226442696,5
51200,lam_e,0.9469374999999995,0.0004978302395136449,5
52224,lam_e,0.9460109374999996,0.0005220915791032665,5
53248,lam_e,0.9450609374999995,0.00040507977823648695,5
54272,lam_e,0.9439703124999996,0.00046690900050970594,5
55296,lam_e,0.9428171874999995,0.00044217952485941993,5
56320,lam_e,0.9416171874999997,0.00044217952485941993,5
57344,lam_e,0.9404328124999995,0.000475811253273114,5
58368,lam_e,0.9392328124999996,0.000475811253273114,5
59392,lam_e,0.9380984374999995,0.0005047379548867995,5
60000,lam_e,0.9369651041666662,0.0004596665124297519,5
1024,lam_a,1.9666014004831045,0.0006601538094544588,5
2048,lam_a,1.9308682661014838,0.0012924118540356916,5
3072,lam_a,1.8963373515026114,0.001859510423163447,5
4096,lam_a,1.8582836745786868,0.0019225648365521866,5
5120,lam_a,1.8172667070332627,0.002055951284091775,5
6144,lam_a,1.7793213923670153,0.0024553576391341276,5
7168,lam_a,1.7454011193117007,0.0032977119062957807,5
8192,lam_a,1.710395179174725,0.004025355734361346,5
9216,lam_a,1.658377022502431,0.004214906906739565,5
10240,lam_a,1.6232349674966813,0.004547095176874356,5
