step,metric,mean,sd,n_runs
11264,lam_a,1.5900458950623233,0.004672912097942506,5
12288,lam_a,1.5547359409831487,0.004796871493473217,5
13312,lam_a,1.5196482620865237,0.0051843137202046054,5
14336,lam_a,1.5,0.0,5
15360,lam_a,1.5,0.0,5
16384,lam_a,1.5,0.0,5
17408,lam_a,1.5,0.0,5
18432,lam_a,1.5,0.0,5
19456,lam_a,1.5,0.0,5
20480,lam_a,1.5,0.0,5
21504,lam_a,1.5,0.0,5
22528,lam_a,1.5,0.0,5
23552,lam_a,1.5,0.0,5
24576,lam_a,1.5,0.0,5
25600,lam_a,1.5,0.0,5
26624,lam_a,1.5,0.0,5
27648,lam_a,1.5,0.0,5
28672,lam_a,1.5,0.0,5
29696,lam_a,1.5,0.0,5
30720,lam_a,1.5,0.0,5
31744,lam_a,1.5,0.0,5
32768,lam_a,1.5,0.0,5
33792,lam_a,1.5,0.0,5
34816,lam_a,1.5,0.0,5
35840,lam_a,1.5,0.0,5
36864,lam_a,1.5,0.0,5
37888,lam_a,1.5,0.0,5
38912,lam_a,1.5,0.0,5
39936,lam_a,1.5,0.0,5
40960,lam_a,1.5,0.0,5
41984,lam_a,1.5,0.0,5
43008,lam_a,1.5,0.0,5
44032,lam_a,1.5,0.0,5
45056,lam_a,1.5,0.0,5
46080,lam_a,1.5,0.0,5
47104,lam_a,1.5,0.0,5
48128,lam_a,1.5,0.0,5
49152,lam_a,1.5,0.0,5
50176,lam_a,1.5,0.0,5
51200,lam_a,1.5,0.0,5
52224,lam_a,1.5,0.0,5
53248,lam_a,1.5,0.0,5
54272,lam_a,1.5,0.0,5
55296,lam_a,1.5,0.0,5
56320,lam_a,1.5,0.0,5
57344,lam_a,1.5,0.0,5
58368,lam_a,1.5,0.0,5
59392,lam_a,1.5,0.0,5
60000,lam_a,1.5,0.0,5
