method,tx_reduction_pct,mae,role,mae_sd,n_runs
fixed_30,49.9533399414936,9.659978124304285,periodic,,
fixed_45,66.6934216570365,10.474124931125482,periodic,,
fixed_60,75.26823489592147,11.335269101794868,periodic,,
fixed_75,80.01837390904916,11.755109070034443,periodic,,
fixed_90,83.35759011677104,12.517337989280492,periodic,,
delta_plus_heartbeat_selected,72.82692261199624,9.224011897727348,selected,,
semantic_expert,73.89260933684693,7.218922792024657,mean,0.0,1.0
campus_senserl_bc,79.75881826753378,9.204679195085538,mean,0.0,1.0
cmappo_kl,77.79019897009405,8.742403611902981,mean,0.13828572702839373,5.0
