step,seed,mean_mae,mean_miss,mean_aoi,mae_ratio,miss_ratio,aoi_ratio
1024,42,9.80240552549936,0.0,1.7800300764540955,1.0891561694999288,0.0,0.5085800218440273
2048,42,11.269470307794418,0.0013346354166666667,1.6993170736530554,1.252163367532713,0.08897569444444445,0.48551916390087296
3072,42,10.286949520488452,0.00390625,1.767814582631281,1.1429943911653835,0.2604166666666667,0.5050898807517946
4096,42,9.08622317660848,0.0009765625,1.5627372673659004,1.0095803529564977,0.06510416666666667,0.44649636210454297
5120,42,8.328439534653032,0.0029296875,1.4323677429184223,0.9253821705170036,0.1953125,0.40924792654812064
6144,42,8.515335610817056,0.00390625,1.6028542078342154,0.9461484012018951,0.2604166666666667,0.4579583450954901
7168,42,9.597608299602076,0.0,1.8115205212815157,1.0664009221780084,0.0,0.5175772917947188
8192,42,9.649337642958649,0.0,1.7228562664833,1.0721486269954055,0.0,0.49224464756665715
9216,42,4.928830274477532,0.0009765625,0.8757002861191547,0.5476478082752814,0.06510416666666667,0.2502000817483299
10240,42,10.233995272428974,0.00390625,1.7134201542440737,1.1371105858254416,0.2604166666666667,0.48954861549830675
11264,42,8.579686696752114,0.00244140625,1.8412775175399174,0.953298521861346,0.16276041666666669,0.5260792907256907
12288,42,10.003426248951381,0.005859375,1.7524027915828322,1.1114918054390424,0.390625,0.5006865118808091
13312,42,9.395195473758164,0.00341796875,1.757863485079942,1.0439106081953515,0.22786458333333334,0.5022467100228406
14336,42,9.720825958654046,0.0029296875,1.73649453020001,1.080091773183783,0.1953125,0.49614129434286003
15360,42,8.768280204439609,0.00390625,1.7978587330450795,0.9742533560488454,0.2604166666666667,0.5136739237271656
16384,42,9.797135126002729,0.001953125,1.7633680926776305,1.0885705695558587,0.13020833333333334,0.5038194550507515
17408,42,5.936521747075661,0.0,1.3414298791536798,0.6596135274528512,0.0,0.38326567975819426
18432,42,2.9783136152110763,0.0,0.5927451221537853,0.3309237350234529,0.0,0.1693557491867958
19456,42,9.83352505139433,0.0009765625,1.830694844709948,1.09261389459937,0.06510416666666667,0.523055669917128
20480,42,9.176042892371893,0.0,1.8548586861316836,1.0195603213746547,0.0,0.5299596246090524
21504,42,11.868318824782055,0.0027018229166666666,1.6977096092174007,1.3187020916424506,0.1801215277777778,0.48505988834782876
22528,42,9.68728898400215,0.00146484375,1.8142031287422016,1.0763654426669056,0.09765625,0.5183437510692005
23552,42,9.42375055946533,0.0,1.6167476191568766,1.0470833954961476,0.0,0.461927891187679
24576,42,7.217097497988993,0.001953125,1.3300061934358043,0.801899721998777,0.13020833333333334,0.38000176955308695
25600,42,9.704291974382759,0.0009765625,1.771306077891184,1.0782546638203065,0.06510416666666667,0.5060874508260526
26624,42,9.541024625982136,0.0029296875,1.887426116663732,1.0601138473313485,0.1953125,0.5392646047610663
27648,42,9.245689555032033,0.00390625,1.7107565297720737,1.0272988394480036,0.2604166666666667,0.4887875799348782
28672,42,5.776821261635572,0.001953125,1.0542893816118397,0.641869029070619,0.13020833333333334,0.3012255376033828
29696,42,10.214593898070778,0.00390625,1.8242591556629422,1.1349548775634197,0.2604166666666667,0.5212169016179835
30720,42,8.872386961639302,0.001953125,1.8406896442880356,0.985820773515478,0.13020833333333334,0.5259113269394388
31744,42,9.536191339029592,0.001953125,1.7701999629128067,1.0595768154477325,0.13020833333333334,0.5057714179750876
32768,42,9.738423673652534,0.00341796875,1.767619761686596,1.0820470748502815,0.22786458333333334,0.5050342176247418
33792,42,9.630230653624618,0.001953125,1.722377868695179,1.0700256281805132,0.13020833333333334,0.49210796248433686
34816,42,9.071237230813882,0.001953125,1.732722415328911,1.0079152478682092,0.13020833333333334,0.4950635472368317
35840,42,8.976385594892058,0.0,1.7145325913756184,0.9973761772102286,0.0,0.4898664546787481
36864,42,4.889766435019625,0.0,1.096145334839751,0.5433073816688472,0.0,0.313184381382786
37888,42,4.049643799266626,0.0009765625,0.8740310683471925,0.4499604221407362,0.06510416666666667,0.24972316238491213
38912,42,9.782471849771301,0.0,1.732461195147206,1.0869413166412558,0.0,0.4949889128992017
39936,42,9.333257869439397,0.0,1.7413661431164784,1.037028652159933,0.0,0.4975331837475653
40960,42,10.98723271352645,0.0022786458333333335,1.6249859622352771,1.220803634836272,0.15190972222222224,0.46428170349579345
41984,42,9.593007176258155,0.000732421875,1.6945063039554635,1.0658896862509062,0.048828125,0.4841446582729896
43008,42,8.904229771301264,0.0009765625,1.5979699425588305,0.9893588634779182,0.06510416666666667,0.45656284073109443
44032,42,7.411923265277313,0.001953125,1.3166064862609315,0.8235470294752569,0.13020833333333334,0.3761732817888376
45056,42,9.32987989015402,0.0,1.8299912719032863,1.0366533211282245,0.0,0.5228546491152246
46080,42,9.755074692130737,0.001953125,1.7660328315868736,1.0838971880145263,0.13020833333333334,0.504580809024821
47104,42,7.372950259351288,0.0,1.3299184655091674,0.8192166954834765,0.0,0.3799767044311907
48128,42,7.33721609955831,0.00390625,1.2653029600662458,0.8152462332842566,0.2604166666666667,0.3615151314474988
49152,42,9.337183205111124,0.00390625,1.689886070564679,1.0374648005679026,0.2604166666666667,0.48282459158990826
50176,42,9.121044589987521,0.0048828125,1.7511642205030937,1.0134493988875024,0.32552083333333337,0.5003326344294553
51200,42,9.170681533619666,0.0048828125,1.8360311936851734,1.0189646148466296,0.32552083333333337,0.5245803410529067
52224,42,10.06879647875159,0.00390625,1.7497561865096187,1.1187551643057323,0.2604166666666667,0.4999303390027482
53248,42,9.156979862047969,0.0009765625,1.7092572921104776,1.0174422068942188,0.06510416666666667,0.4883592263172793
54272,42,9.074231082668597,0.0029296875,1.674351194141312,1.0082478980742886,0.1953125,0.4783860554689463
55296,42,8.885500988846626,0.0,1.752150869365419,0.9872778876496251,0.0,0.5006145341044055
56320,42,3.5060685161639515,0.0,0.8192842301106478,0.38956316846266126,0.0,0.2340812086030422
57344,42,5.5889669146083545,0.0009765625,1.1926339335776528,0.6209963238453727,0.06510416666666667,0.3407525524507579
58368,42,9.591660704911058,0.0,1.7506542761938042,1.065740078323451,0.0,0.5001869360553727
59392,42,10.28263730397926,0.0013671875,1.6681693869111274,1.1425152559976957,0.09114583333333333,0.4766198248317507
60000,42,10.28623774848859,0.0,1.6923024314690167,1.142915305387621,0.0,0.4835149804197191
1024,123,10.114620213133525,0.0,1.8171268855594784,1.1238466903481694,0.0,0.519179110159851
2048,123,11.1344474274354,0.00087890625,1.6604972442378167,1.2371608252706001,0.05859375000000001,0.47442778406794767
3072,123,10.105043198155844,0.002685546875,1.7340691984208916,1.1227825775728715,0.17903645833333334,0.495448342405969
4096,123,9.244116537187391,0.0,1.621279339138219,1.027124059687488,0.0,0.4632226683252054
5120,123,8.28999427412738,0.00341796875,1.4422783699482737,0.9211104749030423,0.22786458333333334,0.41207953427093535
6144,123,8.481504489541749,0.001953125,1.5978546856103102,0.942389387726861,0.13020833333333334,0.45652991017437433
7168,123,9.759216895205682,0.00048828125,1.7359239094427465,1.0843574328006313,0.032552083333333336,0.49597825984078475
8192,123,9.765105774338425,0.0048828125,1.7023977637934742,1.0850117527042693,0.32552083333333337,0.4863993610838498
9216,123,5.015399203580299,0.0029296875,0.8935710148865386,0.5572665781755888,0.1953125,0.25530600425329675
10240,123,10.29722568176065,0.001953125,1.7421663782493106,1.1441361868622946,0.13020833333333334,0.4977618223569459
11264,123,8.561672487734526,0.001953125,1.8328903638673952,0.951296943081614,0.13020833333333334,0.52368296110497
12288,123,9.731750649901842,0.00439453125,1.6821587302520626,1.0813056277668713,0.29296875,0.4806167800720179
13312,123,9.329452879697437,0.0048828125,1.678048871328469,1.0366058755219374,0.32552083333333337,0.4794425346652768
14336,123,9.73695592785312,0.00390625,1.6716921055835814,1.08188399198368,0.2604166666666667,0.4776263158810233
15360,123,8.714578276740966,0.001953125,1.7503857515458283,0.9682864751934406,0.13020833333333334,0.5001102147273795
16384,123,9.734342823400313,0.0009765625,1.7128960007272467,1.0815936470444791,0.06510416666666667,0.4893988573506419
17408,123,6.048109619181827,0.0,1.3871686735702162,0.6720121799090919,0.0,0.3963339067343475
18432,123,2.9531117145492765,0.0,0.5867408552445013,0.3281235238388085,0.0,0.1676402443555718
19456,123,9.636348798157622,0.0009765625,1.7469645330807455,1.0707054220175136,0.06510416666666667,0.49913272373735584
20480,123,9.033371359214861,0.0,1.7655409677399152,1.0037079288016513,0.0,0.5044402764971186
21504,123,11.473916297286525,0.001953125,1.6191862052200858,1.2748795885873916,0.13020833333333334,0.4626246300628817
22528,123,9.646891724612065,0.001220703125,1.7470420752150793,1.0718768582902294,0.08138020833333334,0.4991548786328798
23552,123,9.196608124219914,0.0009765625,1.5504219737233487,1.021845347135546,0.06510416666666667,0.4429777067780996
24576,123,6.9755333112128675,0.00244140625,1.255791826152127,0.7750592568014297,0.16276041666666669,0.35879766461489343
25600,123,9.523822493415706,0.0029296875,1.7285621080730844,1.0582024992684118,0.1953125,0.49387488802088125
26624,123,9.462923384886103,0.0,1.7971553483223834,1.0514359316540114,0.0,0.5134729566635381
27648,123,9.096789469804122,0.0009765625,1.634954762150572,1.0107543855337913,0.06510416666666667,0.46712993204302056
28672,123,5.733989118449206,0.0009765625,0.9792927188689631,0.6371099020499118,0.06510416666666667,0.2797979196768466
