method,packet_loss_pct,mae,mae_sd,n_runs
fixed_60,0.0,11.335269101794868,0.0,1
fixed_60,10.0,11.89060208616156,0.0303716412395949,5
fixed_60,20.0,12.515790964496285,0.0769092442128245,5
fixed_60,40.0,14.153785241670828,0.1454739715221364,5
fixed_75,0.0,11.755109070034443,0.0,1
fixed_75,10.0,12.375155399029763,0.0404991725243906,5
fixed_75,20.0,13.07443151834199,0.0790775428333322,5
fixed_75,40.0,14.82203106741412,0.0313342524340425,5
delta_plus_heartbeat,0.0,9.224011897727348,0.0,1
delta_plus_heartbeat,10.0,9.493247522932602,0.0157150838906724,5
delta_plus_heartbeat,20.0,9.77803794690646,0.0217481650984434,5
delta_plus_heartbeat,40.0,10.499814983398974,0.0299286810650745,5
semantic_expert,0.0,7.218922792024657,0.0,1
semantic_expert,10.0,7.600709972291068,0.0131666704771646,5
semantic_expert,20.0,8.019859277069951,0.0222104600019246,5
semantic_expert,40.0,9.052548762839686,0.0138003870074522,5
cmappo_kl,0.0,8.742403611902981,0.1382857270283937,5
cmappo_kl,10.0,8.976431643980769,0.1343188058061694,5
cmappo_kl,20.0,9.252819221398074,0.1299169386920945,5
cmappo_kl,40.0,9.974754716259318,0.1059432995084166,5
