ablation,seed,steps,n_sensors,n_locally_available,n_tx,transmit_rate,transmission_reduction_pct,mae_skipped,n_skipped_eval,n_true_events,n_server_events,event_recall,event_precision,event_f1,tp,fn,fp,n_high_co2_events,recall_high_co2,n_rapid_rise_events,recall_rapid_rise,mean_aoi,mean_aoi_state,mean_aoi_raw,p90_aoi,p95_aoi,max_aoi,shield_overrides,mean_reward_per_step,packet_delivery_ratio,tx_requested,tx_delivered,graph,reconstructor,adjacency_is_identity,shield,checkpoint
bc_only,42,6431,40,206815,41742,0.2018325556656915,79.81674443343084,9.166883742344297,165073,826,843,0.9915254237288136,0.9715302491103204,0.981426003594967,819,7,24,751,0.996005326231691,78,0.9487179487179488,2.1386642823822117,2.1386642823822117,2.1386642823822117,4.0,5.0,8.0,0,-0.4375244189985134,1.0,41742,41742,hybrid,locf,False,,
old_mappo_shield,42,6431,40,206815,43626,0.2109421463626913,78.90578536373087,13.081114535906218,163189,826,915,0.9346246973365616,0.8437158469945355,0.8868466398621483,772,54,143,751,0.9387483355525964,78,0.8974358974358975,3.3549720105737832,3.3549720105737832,3.3549720105737832,7.0,8.0,8.0,41075,-0.4475330923738398,1.0,43626,43626,hybrid,locf,False,True,
old_mappo_no_shield,42,6431,40,206815,4998,0.0241665256388559,97.5833474361144,74.03580471417175,201817,826,50,0.0266343825665859,0.44,0.0502283105022831,22,804,28,751,0.0199733688415446,78,0.0897435897435897,1911.3638081169336,7.218142590576893,1911.3638081169336,4473.0,4891.0,5581.0,0,-0.658713288052791,1.0,4998,4998,hybrid,locf,False,False,
mappo_no_kl_no_constraints,42,6431,40,206815,38663,0.1869448540966564,81.30551459033435,9.529943146676816,168152,826,852,0.9927360774818402,0.9624413145539906,0.9773539928486292,820,6,32,751,0.996005326231691,78,0.9615384615384616,2.3332724304151764,2.3332724304151764,2.3332724304151764,5.0,5.0,8.0,0,-0.4299076456276048,1.0,38663,38663,hybrid,locf,False,,C:\Users\MossabBatal\Desktop\OULU_RL\outputs\rl_final\cmappo_ablations\mappo_no_kl_no_constraints\seed_42\best_model.pt
kl_only,42,6431,40,206815,39917,0.193008244082876,80.6991755917124,9.36482761926446,166898,826,851,0.9927360774818402,0.963572267920094,0.9779367918902804,820,6,31,751,0.996005326231691,78,0.9615384615384616,2.250342092987094,2.250342092987094,2.250342092987094,5.0,5.0,8.0,0,-0.4373538589166164,1.0,39917,39917,hybrid,locf,False,,C:\Users\MossabBatal\Desktop\OULU_RL\outputs\rl_final\cmappo_ablations\kl_only\seed_42\best_model.pt
constraints_only,42,6431,40,206815,61091,0.2953895994004303,70.46104005995697,7.307526557053059,145724,826,825,0.9975786924939468,0.9987878787878788,0.998182919442762,824,2,1,751,1.0,78,0.9743589743589745,1.4110013994713109,1.4110013994713109,1.4110013994713109,3.0,3.0,8.0,0,-0.5045315145489627,1.0,61091,61091,hybrid,locf,False,,C:\Users\MossabBatal\Desktop\OULU_RL\outputs\rl_final\cmappo_ablations\constraints_only\seed_42\best_model.pt
full_kl_cmappo,42,6431,40,206815,44108,0.2132727316683993,78.67272683316007,8.87014695126823,162707,826,839,0.9927360774818402,0.9773539928486292,0.984984984984985,820,6,19,751,0.9973368841544608,78,0.9487179487179488,2.0254509407557144,2.0254509407557144,2.0254509407557144,4.0,4.0,8.0,0,-0.4418159007440997,1.0,44108,44108,hybrid,locf,False,,C:\Users\MossabBatal\Desktop\OULU_RL\outputs\rl_final\cmappo_kl\seed_42\best_model.pt
