method,condition,level,n,tx_reduction_mean,mae_mean,mae_std,recall_mean,recall_std,aoi_raw_mean,pdr_mean
campus_senserl_bc,neighbour_edge_drop,0.3,5,80.00773638275754,9.19145147925448,0.0278301940650947,0.9927360774818405,0.000765684663479,2.166455450163272,1.0
campus_senserl_bc,packet_loss,0.0,5,79.98887894978604,9.192468996727898,0.0285220990974702,0.9927360774818405,0.000765684663479,2.1638757580469603,1.0
campus_senserl_bc,packet_loss,0.1,5,78.3167565215289,9.4228296916668,0.0248128495293684,0.9813559322033898,0.0037196831708806,2.2338695381744675,0.8980695321236795
campus_senserl_bc,packet_loss,0.2,5,76.38981698619537,9.68376380676721,0.0267957962813113,0.9723970944309928,0.0059997635318953,2.32260845902659,0.7998955020647776
campus_senserl_bc,packet_loss,0.4,5,71.17655876024466,10.331668744520885,0.0406456152198551,0.9389830508474576,0.0071253941741221,2.5939410667081324,0.602731930133822
campus_senserl_bc,sensor_outage,0.1,5,79.94830427243649,9.293797901054296,0.0295206313473831,0.9927360774818405,0.000765684663479,2.7464461203545327,1.0
campus_senserl_bc,sensor_outage,0.2,5,80.08098489250436,9.034149404161091,0.0262737426031246,0.995045632333768,0.0005215123859191,3.334977452962214,1.0
campus_senserl_bc,temp_block_outage,0.2,5,79.98001592789906,9.172144707874091,0.0303047842084323,0.9927360774818405,0.000765684663479,2.141623386720572,1.0
cmappo_kl,neighbour_edge_drop,0.3,5,77.78275270168992,8.660308256097414,0.1372938641142255,0.994915254237288,0.0017792903700603,1.9387793500233244,1.0
cmappo_kl,packet_loss,0.0,5,77.75209728501318,8.656118507652483,0.1442997764951355,0.994915254237288,0.0017792903700603,1.9350139947131084,1.0
cmappo_kl,packet_loss,0.1,5,75.98404371056259,8.912125033643935,0.1354676196028169,0.9818401937046004,0.00276071531501,2.008869538174468,0.8980880525854145
cmappo_kl,packet_loss,0.2,5,73.95285641757127,9.205147088721876,0.143505727927464,0.9738498789346248,0.0028237055180848,2.096253304307262,0.7999045238344173
cmappo_kl,packet_loss,0.4,5,68.48700529458695,9.959322969726117,0.1183796826435844,0.9409200968523004,0.004985777307984,2.3768208676722127,0.6020141321648024
cmappo_kl,sensor_outage,0.1,5,77.73195765258318,8.748767175996829,0.1496040225801854,0.994915254237288,0.0017792903700603,2.5421007619343805,1.0
cmappo_kl,sensor_outage,0.2,5,77.85880302149914,8.558316081527215,0.1296390201882559,0.997653194263364,0.0009756603355342,3.152354999222516,1.0
cmappo_kl,temp_block_outage,0.2,5,77.7411073352427,8.642758160484997,0.1418508589538619,0.994915254237288,0.0017792903700603,1.9342551702690092,1.0
semantic_expert,neighbour_edge_drop,0.3,1,73.89260933684693,7.218922792024657,0.0,0.9987893462469734,0.0,1.748631628051625,1.0
semantic_expert,packet_loss,0.0,1,73.89260933684693,7.218922792024657,0.0,0.9987893462469734,0.0,1.748631628051625,1.0
semantic_expert,packet_loss,0.1,1,72.19737446510166,7.605495539627701,0.0,0.9915254237288136,0.0,1.8319818068729592,0.8986260869565217
semantic_expert,packet_loss,0.2,1,70.14578246258733,8.058779445294787,0.0,0.9697336561743342,0.0,1.9255870004664903,0.7994752441572324
semantic_expert,packet_loss,0.4,1,64.80332664458575,9.045803728110542,0.0,0.9443099273607748,0.0,2.2209182086767223,0.6022227717331575
semantic_expert,sensor_outage,0.1,1,73.79618959408084,7.270021380462781,0.0,0.9987893462469734,0.0,2.3703739698336186,1.0
semantic_expert,sensor_outage,0.2,1,74.08422913035058,7.16188040751967,0.0,1.0,0.0,3.004167314570051,1.0
semantic_expert,temp_block_outage,0.2,1,73.87527762525907,7.221403844737424,0.0,0.9987893462469734,0.0,1.7371443010418286,1.0
