method,split,cohort,n,tx_reduction_mean,tx_reduction_std,mae_mean,mae_std,recall_mean,recall_std,precision_mean,aoi_raw_mean
campus_senserl_bc,test,heldout,5,79.94610540647871,0.1045927150708264,8.926389527804147,0.0456470239366643,0.9959382615759544,0.0008898823030141,0.9764310022992844,2.1833906079925365
campus_senserl_bc,val,heldout,5,79.53736829690203,0.1048024474175674,9.283417748209931,0.0974029213395844,0.994562647754137,0.0006892378126294,0.9711600165902504,2.1397558700046653
cmappo_kl,test,heldout,5,77.76857472438115,0.6971516527186863,8.427252373082656,0.12055321248846,0.9965881397238018,0.0006079053430989,0.9928911152108546,1.9346913388275544
cmappo_kl,val,heldout,5,77.33016197515333,0.724909781728213,8.57085759157134,0.1585068783980638,0.9977541371158394,0.0010833512281219,0.9920171288840492,1.9204905924428552
semantic_expert,val,heldout,1,73.84710646328038,0.0,7.245318426831703,0.0,0.9988179669030732,0.0,0.9976387249114522,1.7519981340382522
