method,transmission_reduction_pct,mae_skipped,event_recall,event_f1,mean_aoi,n_true_events,seed
semantic_expert,73.89260933684693,7.218922792024657,0.9987893462469734,0.9933774834437086,1.748631628051625,826.0,42
fixed_15,0.0,,1.0,1.0,0.0010884776862074327,826.0,42
fixed_30,49.9533399414936,9.659978124304285,0.9309927360774818,0.9165673420738975,0.6013878090499145,826.0,42
fixed_45,66.6934216570365,10.474124931125482,0.9055690072639225,0.8810365135453475,1.201675478152698,826.0,42
fixed_60,75.26823489592147,11.335269101794868,0.887409200968523,0.8715814506539834,1.8852861141346602,826.0,42
change_threshold,83.88801585958466,17.12607425083433,0.927360774818402,0.8809660724554342,13.382296687917897,826.0,42
campus_senserl_bc,79.75881826753378,9.204679195085538,0.9929782082324456,0.9814528134079998,2.125630539573939,,mean
