figure,method,metric,value,extra,source
figS03,KL-CMAPPO,val_tx_reduction_mean,79.098,step=40960,cmappo_kl metrics.json val_tx_reduction
figS03,KL-CMAPPO,val_tx_reduction_mean,78.8817,step=48128,cmappo_kl metrics.json val_tx_reduction
figS03,KL-CMAPPO,val_tx_reduction_mean,77.972,step=56320,cmappo_kl metrics.json val_tx_reduction
figS03,KL-CMAPPO,val_tx_reduction_mean,78.2618,step=60000,cmappo_kl metrics.json val_tx_reduction
figS04,KL-CMAPPO,n_feasible,1,step=8192,metrics.json feasible
figS04,KL-CMAPPO,n_feasible,3,step=16384,metrics.json feasible
figS04,KL-CMAPPO,n_feasible,1,step=24576,metrics.json feasible
figS04,KL-CMAPPO,n_feasible,3,step=32768,metrics.json feasible
figS04,KL-CMAPPO,n_feasible,4,step=40960,metrics.json feasible
figS04,KL-CMAPPO,n_feasible,4,step=48128,metrics.json feasible
figS04,KL-CMAPPO,n_feasible,5,step=56320,metrics.json feasible
figS04,KL-CMAPPO,n_feasible,5,step=60000,metrics.json feasible
figS05,KL-CMAPPO,beta_start,0.08,,"metrics.json kl_beta (coefficient, NOT D_KL)"
figS05,KL-CMAPPO,beta_end,0.0256,,"metrics.json kl_beta (coefficient, NOT D_KL)"
figS06,λ_event,final_mean,0.937,,metrics.json lam_e/lam_m/lam_a
figS06,λ_MAE,final_mean,1.8818,,metrics.json lam_e/lam_m/lam_a
figS06,λ_AoI,final_mean,1.5,,metrics.json lam_e/lam_m/lam_a
figS07,Fixed 30,mae,9.66,n=1,full_val_summary.csv
figS07,Fixed 60,mae,11.3353,n=1,full_val_summary.csv
figS07,Delta + heartbeat,mae,10.5971,n=1,full_val_summary.csv
figS07,Semantic expert,mae,7.2189,n=1,full_val_summary.csv
figS07,BC initialization,mae,9.2047,n=5,full_val_summary.csv
figS07,KL-CMAPPO,mae,8.7424,n=5,full_val_summary.csv
figS08a,Semantic expert,mae_loss_0,7.2189,,robustness_summary.csv
figS08a,Semantic expert,mae_loss_10,7.6055,,robustness_summary.csv
figS08a,Semantic expert,mae_loss_20,8.0588,,robustness_summary.csv
figS08a,Semantic expert,mae_loss_40,9.0458,,robustness_summary.csv
figS08a,BC initialization,mae_loss_0,9.2047,,robustness_summary.csv
figS08a,BC initialization,mae_loss_10,9.4347,,robustness_summary.csv
figS08a,BC initialization,mae_loss_20,9.679,,robustness_summary.csv
figS08a,BC initialization,mae_loss_40,10.32,,robustness_summary.csv
figS08a,KL-CMAPPO,mae_loss_0,8.7424,,robustness_summary.csv
figS08a,KL-CMAPPO,mae_loss_10,9.0014,,robustness_summary.csv
figS08a,KL-CMAPPO,mae_loss_20,9.254,,robustness_summary.csv
figS08a,KL-CMAPPO,mae_loss_40,9.9884,,robustness_summary.csv
figS08b,Semantic expert,recall_pct_loss_0,99.8789,,robustness_summary.csv
figS08b,Semantic expert,recall_pct_loss_10,99.1525,,robustness_summary.csv
figS08b,Semantic expert,recall_pct_loss_20,96.9734,,robustness_summary.csv
figS08b,Semantic expert,recall_pct_loss_40,94.431,,robustness_summary.csv
figS08b,BC initialization,recall_pct_loss_0,99.2978,,robustness_summary.csv
figS08b,BC initialization,recall_pct_loss_10,97.9903,,robustness_summary.csv
figS08b,BC initialization,recall_pct_loss_20,96.8039,,robustness_summary.csv
figS08b,BC initialization,recall_pct_loss_40,94.8184,,robustness_summary.csv
figS08b,KL-CMAPPO,recall_pct_loss_0,99.4431,,robustness_summary.csv
figS08b,KL-CMAPPO,recall_pct_loss_10,98.2324,,robustness_summary.csv
figS08b,KL-CMAPPO,recall_pct_loss_20,97.1913,,robustness_summary.csv
figS08b,KL-CMAPPO,recall_pct_loss_40,94.5278,,robustness_summary.csv
figS09,KL-CMAPPO,heatmap_start,3552,length=96,val rollout seed_123
figS10,LOCF,mae,10.3427,std=0.0531,C:\Users\MossabBatal\Desktop\OULU_RL\outputs\reconstruction_final\fair_benchmark\fair_results_summary.csv
figS10,ExtraTrees,mae,12.1643,std=0.0549,C:\Users\MossabBatal\Desktop\OULU_RL\outputs\reconstruction_final\fair_benchmark\fair_results_summary.csv
figS10,LightGBM,mae,12.3737,std=0.0765,C:\Users\MossabBatal\Desktop\OULU_RL\outputs\reconstruction_final\fair_benchmark\fair_results_summary.csv
figS10,Linear extrapolation,mae,19.7199,std=0.1249,C:\Users\MossabBatal\Desktop\OULU_RL\outputs\reconstruction_final\fair_benchmark\fair_results_summary.csv
figS10,ST-GNN,mae,17.5318,std=0.1624,C:\Users\MossabBatal\Desktop\OULU_RL\outputs\reconstruction_final\fair_benchmark\fair_results_summary.csv
figS10,Historical mean,mae,24.7548,std=0.1290,C:\Users\MossabBatal\Desktop\OULU_RL\outputs\reconstruction_final\fair_benchmark\fair_results_summary.csv
