method,configuration,scenario,split,packet_loss,loss_mask_id,prob_threshold,seconds,stage
cmappo_kl,tau=0.5,packet_loss,val,0.1,0,,22.28377150000597,
cmappo_kl,tau=0.5,packet_loss,val,0.1,0,,21.090757800004212,
cmappo_kl,tau=0.5,packet_loss,val,0.1,0,,20.968680100006168,
cmappo_kl,tau=0.5,packet_loss,val,0.1,0,,21.188126799999736,
cmappo_kl,tau=0.5,packet_loss,val,0.1,0,,20.928960099990945,
fixed_60,interval_steps=4 (60 min),packet_loss,val,0.1,1,,11.060472800003481,
fixed_75,interval_steps=5 (75 min),packet_loss,val,0.1,1,,10.892109799999162,
delta_plus_heartbeat,"delta_ppm=25,heartbeat=3",packet_loss,val,0.1,1,,10.989832099992782,
semantic_expert,frozen_expert_thresholds,packet_loss,val,0.1,1,,11.402639000007184,
cmappo_kl,tau=0.5,packet_loss,val,0.1,1,,21.177225699997507,
cmappo_kl,tau=0.5,packet_loss,val,0.1,1,,21.287090300000273,
cmappo_kl,tau=0.5,packet_loss,val,0.1,1,,21.243920000008075,
cmappo_kl,tau=0.5,packet_loss,val,0.1,1,,21.793238199999905,
cmappo_kl,tau=0.5,packet_loss,val,0.1,1,,21.1242135999928,
fixed_60,interval_steps=4 (60 min),packet_loss,val,0.1,2,,10.905262300002505,
fixed_75,interval_steps=5 (75 min),packet_loss,val,0.1,2,,10.916454999998678,
delta_plus_heartbeat,"delta_ppm=25,heartbeat=3",packet_loss,val,0.1,2,,10.841520200003288,
semantic_expert,frozen_expert_thresholds,packet_loss,val,0.1,2,,11.047504799993476,
cmappo_kl,tau=0.5,packet_loss,val,0.1,2,,22.599871600003098,
cmappo_kl,tau=0.5,packet_loss,val,0.1,2,,21.005657699992298,
cmappo_kl,tau=0.5,packet_loss,val,0.1,2,,21.660349900004803,
cmappo_kl,tau=0.5,packet_loss,val,0.1,2,,21.8817340000096,
cmappo_kl,tau=0.5,packet_loss,val,0.1,2,,21.55742480000481,
fixed_60,interval_steps=4 (60 min),packet_loss,val,0.1,3,,11.014693600009196,
fixed_75,interval_steps=5 (75 min),packet_loss,val,0.1,3,,11.171006100004888,
delta_plus_heartbeat,"delta_ppm=25,heartbeat=3",packet_loss,val,0.1,3,,11.192393100005575,
semantic_expert,frozen_expert_thresholds,packet_loss,val,0.1,3,,11.081173800004763,
cmappo_kl,tau=0.5,packet_loss,val,0.1,3,,21.144306299989694,
cmappo_kl,tau=0.5,packet_loss,val,0.1,3,,21.151132700004382,
cmappo_kl,tau=0.5,packet_loss,val,0.1,3,,21.9918822000036,
cmappo_kl,tau=0.5,packet_loss,val,0.1,3,,21.43449660000624,
cmappo_kl,tau=0.5,packet_loss,val,0.1,3,,21.545307499996852,
fixed_60,interval_steps=4 (60 min),packet_loss,val,0.1,4,,11.057210400002077,
fixed_75,interval_steps=5 (75 min),packet_loss,val,0.1,4,,10.962336700002197,
delta_plus_heartbeat,"delta_ppm=25,heartbeat=3",packet_loss,val,0.1,4,,11.092293699999573,
semantic_expert,frozen_expert_thresholds,packet_loss,val,0.1,4,,11.276019899989478,
cmappo_kl,tau=0.5,packet_loss,val,0.1,4,,22.585526499999105,
cmappo_kl,tau=0.5,packet_loss,val,0.1,4,,21.439676099995268,
cmappo_kl,tau=0.5,packet_loss,val,0.1,4,,21.300377199993818,
cmappo_kl,tau=0.5,packet_loss,val,0.1,4,,21.55406400001084,
cmappo_kl,tau=0.5,packet_loss,val,0.1,4,,21.59231659999932,
fixed_60,interval_steps=4 (60 min),packet_loss,val,0.2,0,,10.9672653000016,
fixed_75,interval_steps=5 (75 min),packet_loss,val,0.2,0,,11.18172950000735,
delta_plus_heartbeat,"delta_ppm=25,heartbeat=3",packet_loss,val,0.2,0,,11.13833390000218,
semantic_expert,frozen_expert_thresholds,packet_loss,val,0.2,0,,11.038245599993388,
cmappo_kl,tau=0.5,packet_loss,val,0.2,0,,21.028592100003152,
cmappo_kl,tau=0.5,packet_loss,val,0.2,0,,21.58712409999862,
cmappo_kl,tau=0.5,packet_loss,val,0.2,0,,21.753319700001157,
cmappo_kl,tau=0.5,packet_loss,val,0.2,0,,21.362827400007518,
cmappo_kl,tau=0.5,packet_loss,val,0.2,0,,21.61968469999556,
fixed_60,interval_steps=4 (60 min),packet_loss,val,0.2,1,,10.964176499997848,
fixed_75,interval_steps=5 (75 min),packet_loss,val,0.2,1,,11.226877399996738,
delta_plus_heartbeat,"delta_ppm=25,heartbeat=3",packet_loss,val,0.2,1,,10.980360799992923,
semantic_expert,frozen_expert_thresholds,packet_loss,val,0.2,1,,11.709816400005366,
cmappo_kl,tau=0.5,packet_loss,val,0.2,1,,21.90473720000591,
cmappo_kl,tau=0.5,packet_loss,val,0.2,1,,21.354095600006985,
