scenario,split,cohort,method,configuration,packet_loss,target_reduction,n_runs,aggregation,runs,source,result_source,n_available_mean,n_available_std,n_tx_attempts_mean,n_tx_attempts_std,n_delivered_mean,n_delivered_std,transmission_rate_mean,transmission_rate_std,transmission_reduction_mean,transmission_reduction_std,mae_mean,mae_std,event_tp_mean,event_tp_std,event_fp_mean,event_fp_std,event_fn_mean,event_fn_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,aoi_raw_mean,aoi_raw_std,n_true_events_mean,n_true_events_std,mae_pass_count,mae_pass_count_n,mae_ok_kn,mae_ok,event_pass_count,event_pass_count_n,event_ok_kn,event_ok,aoi_pass_count,aoi_pass_count_n,aoi_ok_kn,aoi_ok,all_constraints_pass_count,all_constraints_pass_count_n,all_constraints_satisfied_kn,all_constraints_satisfied,constraint_display,n_policies,n_loss_masks,n_eval_rows
heldout_sensors,test,heldout,campus_senserl_bc,tau=0.5,0.0,,5,mean_of_n,"123,2024,3407,42,9999",legacy_frozen_csv,legacy_frozen,211524.0,0.0,42894.4,269.94869882998137,42894.4,269.94869882998137,0.20278739055615436,0.0012762083679865356,0.7972126094438456,0.0012762083679865187,8.958774368220675,0.047804252458801634,1224.8,0.44721359549995804,34.2,5.310367218940701,6.2,0.44721359549995787,0.972848892691794,0.004119653275361382,0.9949634443541837,0.00036329292891958907,0.9837786638591082,0.002198781880873,2.1262976208987716,0.022404174798524457,1231.0,0.0,4,5,4/5,False,5,5,5/5,True,5,5,5/5,True,4,5,4/5,False,4/5,,,
heldout_sensors,test,heldout,cmappo_kl,tau=0.5,0.0,,5,mean_of_n,"123,2024,3407,42,9999",revision_eval,new_evaluation,211524.0,0.0,46903.2,1486.0348919187597,46903.2,1486.0348919187597,0.22173937709196118,0.007025372496353891,0.7782606229080387,0.00702537249635386,8.49505339274015,0.1300450088477589,1226.6,0.8944271909999159,10.8,5.495452665613635,4.4,0.8944271909999159,0.9912892434877696,0.004389201498198368,0.99642567018684,0.0007265858578391223,0.9938459908907176,0.0019961578133845374,1.9352550147721974,0.0858421496047424,1231.0,0.0,5,5,5/5,True,5,5,5/5,True,5,5,5/5,True,5,5,5/5,True,5/5,,,
heldout_sensors,test,heldout,delta_plus_heartbeat,"delta_ppm=25,heartbeat=3",0.0,,1,single_run,deterministic,revision_eval,new_evaluation,211524.0,0.0,57562.0,0.0,57562.0,0.0,0.2721298765151945,0.0,0.7278701234848055,0.0,9.440991933074397,0.0,1216.0,0.0,56.0,0.0,15.0,0.0,0.9559748427672956,0.0,0.9878147847278635,0.0,0.9716340391530164,0.0,1.4438345513916964,0.0,1231.0,0.0,0,1,0/1,False,1,1,1/1,True,1,1,1/1,True,0,1,0/1,False,0/1,,,
heldout_sensors,test,heldout,fixed_15,interval_steps=1 (15 min),0.0,,1,single_run,deterministic,revision_eval,new_evaluation,211524.0,0.0,211524.0,0.0,211524.0,0.0,1.0,0.0,0.0,0.0,,0.0,1231.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,6.219872492613902e-05,0.0,1231.0,0.0,0,1,N/A,N/A,1,1,1/1,True,1,1,1/1,True,0,1,N/A,N/A,N/A (full-transmission reference),,,
heldout_sensors,test,heldout,fixed_30,interval_steps=2 (30 min),0.0,,1,single_run,deterministic,revision_eval,new_evaluation,211524.0,0.0,106023.0,0.0,106023.0,0.0,0.5012339025358824,0.0,0.4987660974641176,0.0,11.635226206386667,0.0,1062.0,0.0,134.0,0.0,169.0,0.0,0.8879598662207357,0.0,0.8627132412672623,0.0,0.8751545117428925,0.0,0.5472088322189396,0.0,1231.0,0.0,0,1,0/1,False,0,1,0/1,False,1,1,1/1,True,0,1,0/1,False,0/1,,,
heldout_sensors,test,heldout,fixed_45,interval_steps=3 (45 min),0.0,,1,single_run,deterministic,revision_eval,new_evaluation,211524.0,0.0,70352.0,0.0,70352.0,0.0,0.3325958283693576,0.0,0.6674041716306424,0.0,13.423398407616242,0.0,964.0,0.0,219.0,0.0,267.0,0.0,0.8148774302620456,0.0,0.7831031681559708,0.0,0.7986743993371996,0.0,1.1287824599595708,0.0,1231.0,0.0,0,1,0/1,False,0,1,0/1,False,1,1,1/1,True,0,1,0/1,False,0/1,,,
heldout_sensors,test,heldout,fixed_60,interval_steps=4 (60 min),0.0,,1,single_run,deterministic,revision_eval,new_evaluation,211524.0,0.0,52665.0,0.0,52665.0,0.0,0.248978839280649,0.0,0.751021160719351,0.0,14.769178957440246,0.0,915.0,0.0,261.0,0.0,316.0,0.0,0.7780612244897959,0.0,0.743298131600325,0.0,0.7602825093477358,0.0,1.760087855698958,0.0,1231.0,0.0,0,1,0/1,False,0,1,0/1,False,1,1,1/1,True,0,1,0/1,False,0/1,,,
heldout_sensors,test,heldout,fixed_75,interval_steps=5 (75 min),0.0,,1,single_run,deterministic,revision_eval,new_evaluation,211524.0,0.0,42402.0,0.0,42402.0,0.0,0.2004595223237079,0.0,0.799540477676292,0.0,15.642808150329348,0.0,851.0,0.0,296.0,0.0,380.0,0.0,0.7419354838709677,0.0,0.6913078797725426,0.0,0.7157275021026072,0.0,2.20323433369616,0.0,1231.0,0.0,0,1,0/1,False,0,1,0/1,False,1,1,1/1,True,0,1,0/1,False,0/1,,,
heldout_sensors,test,heldout,fixed_90,interval_steps=6 (90 min),0.0,,1,single_run,deterministic,revision_eval,new_evaluation,211524.0,0.0,35265.0,0.0,35265.0,0.0,0.1667186702218188,0.0,0.8332813297781811,0.0,16.624898586738833,0.0,864.0,0.0,346.0,0.0,367.0,0.0,0.7140495867768595,0.0,0.7018683996750609,0.0,0.7079065956575173,0.0,2.733218006530866,0.0,1231.0,0.0,0,1,0/1,False,0,1,0/1,False,1,1,1/1,True,0,1,0/1,False,0/1,,,
heldout_sensors,test,heldout,semantic_expert,frozen_expert_thresholds,0.0,,1,single_run,deterministic,revision_eval,new_evaluation,211524.0,0.0,54280.0,0.0,54280.0,0.0,0.2566139066961668,0.0,0.7433860933038332,0.0,7.230393528528911,0.0,1229.0,0.0,9.0,0.0,2.0,0.0,0.9927302100161552,0.0,0.9983753046303818,0.0,0.9955447549615228,0.0,1.773099051469445,0.0,1231.0,0.0,1,1,1/1,True,1,1,1/1,True,1,1,1/1,True,1,1,1/1,True,1/1,,,
