scenario,comparison,kl_n_runs,other_n_runs,tx_attempts_kl,tx_attempts_other,relative_change_tx_attempts,absolute_tx_reduction_diff_pp,mae_kl,mae_other,absolute_mae_diff_ppm,relative_mae_improvement,recall_kl,recall_other,absolute_recall_improvement,fn_kl,fn_other,relative_missed_event_reduction
validation,CAMPUS-SenseRL vs Fixed-60,5,1,45933.2,51149.0,-0.1019726680873527,2.521964074172578,8.742403611902981,11.335269101794868,-2.592865489891887,0.22874317906412323,0.9944309927360774,0.887409200968523,0.10702179176755433,4.6,93.0,0.9505376344086022
validation,CAMPUS-SenseRL vs Delta + heartbeat,5,1,45933.2,56198.0,-0.18265418698174318,4.963276358097812,8.742403611902981,9.224011897727348,-0.48160828582436643,0.052212452798659895,0.9944309927360774,0.9903147699757868,0.0041162227602905554,4.6,8.0,0.42500000000000004
validation,CAMPUS-SenseRL vs Semantic expert,5,1,45933.2,53994.0,-0.14929066192539917,3.8975896332471116,8.742403611902981,7.218922792024657,1.5234808198783245,-0.21103991049210835,0.9944309927360774,0.9987893462469734,-0.004358353510895974,4.6,1.0,-3.5999999999999996
validation,CAMPUS-SenseRL vs BC initialization,5,1,45933.2,,,-1.9686192974397332,8.742403611902981,9.204679195085538,-0.46227558318255646,0.050221802779326585,0.9944309927360774,0.9929782082324456,0.0014527845036317322,4.6,,
frozen_test,CAMPUS-SenseRL vs Fixed-60,5,1,46090.4,52646.0,-0.12452228089503473,3.095798033604391,8.612843442936295,10.550982955402484,-1.9381395124661882,0.18369279153027074,0.9529411764705882,0.2647058823529412,0.6882352941176471,4.8,75.0,0.936
frozen_test,CAMPUS-SenseRL vs Delta + heartbeat,5,1,46090.4,57606.0,-0.19990278790403776,5.438094428545792,8.612843442936295,8.790012455238985,-0.17716901230268967,0.02015571800436917,0.9529411764705882,0.9607843137254902,-0.007843137254902044,4.8,4.0,-0.19999999999999996
frozen_test,CAMPUS-SenseRL vs Semantic expert,5,1,46090.4,54092.0,-0.1479257561192043,3.778652990678033,8.612843442936295,7.216203874012153,1.3966395689241429,-0.19354214394550112,0.9529411764705882,0.9803921568627452,-0.027450980392156987,4.8,2.0,-1.4
frozen_test,CAMPUS-SenseRL vs BC initialization,5,1,46090.4,,,-1.995768754899463,8.612843442936295,9.004188944374237,-0.3913455014379412,0.04346260433400296,0.9529411764705882,0.9254901960784314,0.027450980392156765,4.8,,
heldout_test,CAMPUS-SenseRL vs Fixed-60,5,1,46903.2,52665.0,-0.1094047279977215,2.723946218868767,8.49505339274015,14.769178957440246,-6.274125564700096,0.4248120753888888,0.99642567018684,0.743298131600325,0.25312753858651504,4.4,316.0,0.9860759493670886
heldout_test,CAMPUS-SenseRL vs Delta + heartbeat,5,1,46903.2,57562.0,-0.1851707723845593,5.039049942323315,8.49505339274015,9.440991933074397,-0.9459385403342466,0.10019482561152956,0.99642567018684,0.9878147847278635,0.00861088545897648,4.4,15.0,0.7066666666666667
heldout_test,CAMPUS-SenseRL vs Semantic expert,5,1,46903.2,54280.0,-0.13590272660280034,3.487452960420545,8.49505339274015,7.230393528528911,1.2646598642112394,-0.17490885651262,0.99642567018684,0.9983753046303818,-0.0019496344435417923,4.4,2.0,-1.2000000000000002
heldout_test,CAMPUS-SenseRL vs BC initialization,5,5,46903.2,42894.4,0.09345742101533057,-1.8951986535806986,8.49505339274015,8.958774368220675,-0.46372097548052515,0.05176165359465638,0.99642567018684,0.9949634443541836,0.0014622258326564275,4.4,6.2,0.29032258064516125
