scenario,split,cohort,method,configuration,packet_loss,target_reduction,n_runs,aggregation,runs,source,n_available_mean,n_available_std,n_tx_attempts_mean,n_tx_attempts_std,n_delivered_mean,n_delivered_std,transmission_rate_mean,transmission_rate_std,transmission_reduction_mean,transmission_reduction_std,mae_mean,mae_std,event_tp_mean,event_tp_std,event_fp_mean,event_fp_std,event_fn_mean,event_fn_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,aoi_raw_mean,aoi_raw_std,n_true_events_mean,n_true_events_std,mae_ok,event_ok,aoi_ok,all_constraints_satisfied
packet_loss,val,final,delta_plus_heartbeat,"delta_ppm=25,heartbeat=3",0.4,,1,single_run,deterministic,revision_eval,206815.0,0.0,78030.0,0.0,46639.0,0.0,0.3772937166066291,0.0,0.6227062833933709,0.0,10.542528218959143,0.0,769.0,0.0,91.0,0.0,57.0,0.0,0.8941860465116279,0.0,0.9309927360774818,0.0,0.9122182680901544,0.0,1.913384388120044,0.0,826.0,0.0,False,False,True,False
packet_loss,val,final,fixed_60,interval_steps=4 (60 min),0.0,,1,single_run,deterministic,revision_eval,206815.0,0.0,51149.0,0.0,51149.0,0.0,0.2473176510407852,0.0,0.7526823489592147,0.0,11.335269101794868,0.0,733.0,0.0,123.0,0.0,93.0,0.0,0.8563084112149533,0.0,0.887409200968523,0.0,0.8715814506539834,0.0,1.88528611413466,0.0,826.0,0.0,False,False,True,False
packet_loss,val,final,fixed_60,interval_steps=4 (60 min),0.1,,1,single_run,deterministic,revision_eval,206815.0,0.0,51149.0,0.0,45974.0,0.0,0.2473176510407852,0.0,0.7526823489592147,0.0,11.908717304667343,0.0,726.0,0.0,123.0,0.0,100.0,0.0,0.8551236749116607,0.0,0.8789346246973365,0.0,0.8668656716417911,0.0,2.334104338361064,0.0,826.0,0.0,False,False,True,False
packet_loss,val,final,fixed_60,interval_steps=4 (60 min),0.2,,1,single_run,deterministic,revision_eval,206815.0,0.0,51149.0,0.0,40816.0,0.0,0.2473176510407852,0.0,0.7526823489592147,0.0,12.639124332074289,0.0,713.0,0.0,127.0,0.0,113.0,0.0,0.8488095238095238,0.0,0.8631961259079903,0.0,0.8559423769507803,0.0,2.911129684341471,0.0,826.0,0.0,False,False,True,False
packet_loss,val,final,fixed_60,interval_steps=4 (60 min),0.4,,1,single_run,deterministic,revision_eval,206815.0,0.0,51149.0,0.0,30517.0,0.0,0.2473176510407852,0.0,0.7526823489592147,0.0,14.381870469318994,0.0,694.0,0.0,157.0,0.0,132.0,0.0,0.8155111633372503,0.0,0.8401937046004843,0.0,0.8276684555754322,0.0,4.6400909656352045,0.0,826.0,0.0,False,False,False,False
packet_loss,val,final,fixed_75,interval_steps=5 (75 min),0.0,,1,single_run,deterministic,revision_eval,206815.0,0.0,41325.0,0.0,41325.0,0.0,0.1998162609095085,0.0,0.8001837390904916,0.0,11.755109070034443,0.0,731.0,0.0,136.0,0.0,95.0,0.0,0.8431372549019608,0.0,0.8849878934624698,0.0,0.8635558180744242,0.0,2.3895933758357955,0.0,826.0,0.0,False,False,True,False
packet_loss,val,final,fixed_75,interval_steps=5 (75 min),0.1,,1,single_run,deterministic,revision_eval,206815.0,0.0,41325.0,0.0,37120.0,0.0,0.1998162609095085,0.0,0.8001837390904916,0.0,12.387919502637084,0.0,729.0,0.0,148.0,0.0,97.0,0.0,0.8312428734321551,0.0,0.8825665859564165,0.0,0.8561362301820318,0.0,2.94695226247862,0.0,826.0,0.0,False,False,True,False
packet_loss,val,final,fixed_75,interval_steps=5 (75 min),0.2,,1,single_run,deterministic,revision_eval,206815.0,0.0,41325.0,0.0,32882.0,0.0,0.1998162609095085,0.0,0.8001837390904916,0.0,13.179482904336728,0.0,707.0,0.0,161.0,0.0,119.0,0.0,0.8145161290322581,0.0,0.8559322033898306,0.0,0.8347107438016529,0.0,3.684081013839216,0.0,826.0,0.0,False,False,False,False
packet_loss,val,final,fixed_75,interval_steps=5 (75 min),0.4,,1,single_run,deterministic,revision_eval,206815.0,0.0,41325.0,0.0,24729.0,0.0,0.1998162609095085,0.0,0.8001837390904916,0.0,14.855315620091606,0.0,655.0,0.0,165.0,0.0,171.0,0.0,0.7987804878048781,0.0,0.7929782082324455,0.0,0.795868772782503,0.0,5.717812159850723,0.0,826.0,0.0,False,False,False,False
packet_loss,val,final,semantic_expert,frozen_expert_thresholds,0.0,,1,single_run,deterministic,revision_eval,206815.0,0.0,53994.0,0.0,53994.0,0.0,0.2610739066315306,0.0,0.7389260933684694,0.0,7.218922792024657,0.0,825.0,0.0,10.0,0.0,1.0,0.0,0.9880239520958084,0.0,0.9987893462469734,0.0,0.9933774834437086,0.0,1.748631628051625,0.0,826.0,0.0,True,True,True,True
packet_loss,val,final,semantic_expert,frozen_expert_thresholds,0.1,,1,single_run,deterministic,revision_eval,206815.0,0.0,57480.0,0.0,51701.0,0.0,0.2779295505645142,0.0,0.7220704494354858,0.0,7.613645447864151,0.0,819.0,0.0,20.0,0.0,7.0,0.0,0.9761620977353992,0.0,0.9915254237288136,0.0,0.9837837837837838,0.0,1.82707588244441,0.0,826.0,0.0,True,True,True,True
packet_loss,val,final,semantic_expert,frozen_expert_thresholds,0.2,,1,single_run,deterministic,revision_eval,206815.0,0.0,61693.0,0.0,49344.0,0.0,0.2983004134129536,0.0,0.7016995865870463,0.0,8.039677146903239,0.0,802.0,0.0,35.0,0.0,24.0,0.0,0.9581839904420548,0.0,0.9709443099273608,0.0,0.9645219482862296,0.0,1.92099595708288,0.0,826.0,0.0,True,False,True,False
packet_loss,val,final,semantic_expert,frozen_expert_thresholds,0.4,,1,single_run,deterministic,revision_eval,206815.0,0.0,72892.0,0.0,43788.0,0.0,0.3524502574764886,0.0,0.6475497425235113,0.0,9.06448011679047,0.0,775.0,0.0,66.0,0.0,51.0,0.0,0.9215219976218788,0.0,0.9382566585956416,0.0,0.9298140371925616,0.0,2.22084823511118,0.0,826.0,0.0,False,False,True,False
