deveui,train_coverage,val_coverage,test_coverage,train_n_obs,train_std,train_mean,has_floor,rank
A81758FFFE030F6A,0.8032752902155887,0.8294465174129353,0.8655161691542289,15487,516.72568368371,569.416865758378,True,1
A81758FFFE030F6C,0.7960199004975125,0.8236940298507462,0.84375,15359,22.541082974347393,643.3608307832541,True,2
A81758FFFE030F6D,0.7894900497512438,0.8393967661691543,0.8608519900497512,15233,43.636773358903625,396.36263375566205,True,3
A81758FFFE030F70,0.796849087893864,0.8592972636815921,0.8964552238805971,15375,70.54600154245749,426.77710569105693,True,4
A81758FFFE030F71,0.7991293532338308,0.8381529850746269,0.8582089552238806,15419,54.18066785381365,512.6711200466956,True,5
A81758FFFE030F73,0.8044672470978441,0.8350435323383084,0.888681592039801,15523,39.63674460197392,415.7810990143658,True,6
A81758FFFE030F74,0.7181281094527363,0.8111007462686567,0.7541977611940298,13856,67.36700134521617,516.6098441108545,True,7
A81758FFFE030F76,0.7308768656716418,0.7995957711442786,0.855410447761194,14103,261.20799665806396,493.1301141601078,True,8
A81758FFFE030F77,0.7464759535655058,0.8171641791044776,0.8109452736318408,14404,70.03067292875889,492.9657039711191,True,9
A81758FFFE030F78,0.7047056384742952,0.724502487562189,0.8073694029850746,13597,82.47666272519757,503.49540339780833,True,10
A81758FFFE030F79,0.787002487562189,0.8493470149253731,0.8843283582089553,15186,36.90284879432486,375.49894639799817,True,11
A81758FFFE030F7A,0.7564780265339967,0.8303793532338308,0.7638370646766169,14596,55.156552194552134,546.1961496300356,True,12
A81758FFFE030F7B,0.755700663349917,0.8218283582089553,0.8138992537313433,14582,30.694924575996623,447.49526813880124,True,13
A81758FFFE030F7C,0.7679830016583747,0.8254042288557214,0.8837064676616916,14818,39.985576245864145,267.88432986907816,True,14
A81758FFFE030F7E,0.5789800995024875,0.6508084577114428,0.6848569651741293,11172,58.29449429884627,446.32456140350877,True,15
A81758FFFE030F7F,0.7345563847429519,0.6649564676616916,0.7709888059701493,14173,57.24404366415471,299.36604811966413,True,16
A81758FFFE030F80,0.8329187396351575,0.8501243781094527,0.818252487562189,16072,34.87402366606277,422.35988053758086,True,17
A81758FFFE030F81,0.7943097014925373,0.8409514925373134,0.8765547263681592,15327,29.802613514668383,408.7978077901742,True,18
A81758FFFE030F82,0.7789179104477612,0.7912002487562189,0.8589863184079602,15030,27.50956933264576,405.3991350632069,True,19
A81758FFFE030F83,0.7920294361525705,0.840018656716418,0.8555659203980099,15282,90.2995571431724,499.60018322209135,True,20
A81758FFFE030F85,0.7158996683250415,0.7736318407960199,0.6868781094527363,13813,59.1552664875651,564.1539129805255,True,21
A81758FFFE030F87,0.8264925373134329,0.882773631840796,0.8927238805970149,15948,34.63901242934023,424.09493353398545,True,22
A81758FFFE030F88,0.7433665008291874,0.7672574626865671,0.8058146766169154,14343,55.13664079702719,459.6140974691487,True,23
A81758FFFE030F89,0.5514096185737977,0.5824004975124378,0.5614116915422885,10640,35.527896437959576,554.9695488721804,True,24
A81758FFFE030F8A,0.7529021558872305,0.8684701492537313,0.835976368159204,14527,86.70231554876463,337.4853720658085,True,25
A81758FFFE030F8B,0.7963308457711443,0.820429104477612,0.8805970149253731,15365,27.87926218260724,438.56947608200454,True,26
A81758FFFE030F8C,0.7785551409618574,0.8317786069651741,0.8941231343283582,15022,63.38586443629227,516.9697776594328,True,27
A81758FFFE030F8D,0.7997512437810945,0.849502487562189,0.8796641791044776,15432,43.901915545041,525.5387506480041,True,28
A81758FFFE030F8E,0.763577943615257,0.7868470149253731,0.8736007462686567,14734,80.07663104923192,515.1926157187457,True,29
A81758FFFE030F8F,0.642568407960199,0.5666977611940298,0.6616915422885572,12398,63.2240566382831,525.4553153734473,True,30
A81758FFFE030F92,0.7760675787728026,0.8386194029850746,0.8459266169154229,14974,92.32672835481445,531.6120609055697,True,31
A81758FFFE030F93,0.5153917910447762,0.4625310945273632,0.5881529850746269,9944,20.728037170586234,439.44076830249395,True,32
A81758FFFE030F94,0.7521247927031509,0.7793843283582089,0.8605410447761194,14512,57.43875464117844,620.7748070562293,True,33
A81758FFFE030F97,0.7584991708126037,0.7688121890547264,0.7526430348258707,14635,85.8695857178002,517.5076870515886,True,34
A81758FFFE030F99,0.7738909618573798,0.8027052238805971,0.8260261194029851,14932,61.20082248073981,474.31067506027324,True,35
A81758FFFE030F9B,0.7999585406301825,0.8412624378109452,0.8751554726368159,15436,45.72315808003917,434.5715859030837,True,36
A81758FFFE030F9C,0.7660655058043118,0.8109452736318408,0.8801305970149254,14781,151.91687391150052,578.0798998714566,True,37
A81758FFFE030F9D,0.7935323383084577,0.8271144278606966,0.8818407960199005,15311,445.7853951925046,546.1136437855137,True,38
A81758FFFE030F9F,0.7998030679933665,0.818252487562189,0.8801305970149254,15432,58.31306359102018,395.9453732503888,True,39
A81758FFFE030FA0,0.7907338308457711,0.8213619402985075,0.877021144278607,15258,51.284189326861906,412.21863940228076,True,40
