deveui,train_coverage,val_coverage,test_coverage,train_n_obs,train_std,train_mean,has_floor,in_final,exclusion_reason
A81758FFFE031018,0.7918221393034826,0.8442164179104478,0.8580534825870647,15278,35.98422554776815,427.9962691451761,True,False,beyond_final_n_cap_or_node_order
A81758FFFE031019,0.7632151741293532,0.8634950248756219,0.8698694029850746,14727,91.16145841612851,469.9629252393563,True,False,beyond_final_n_cap_or_node_order
A81758FFFE03101A,0.7800062189054726,0.8305348258706468,0.8630286069651741,15051,26.673058040660212,410.44249551524814,True,False,beyond_final_n_cap_or_node_order
A81758FFFE03101B,0.7843076285240465,0.7922885572139303,0.8782649253731343,15042,566.9258140325067,584.3106634756017,True,False,beyond_final_n_cap_or_node_order
A81758FFFE03101C,0.6333436981757877,0.5618781094527363,0.617070895522388,12220,79.10903226316375,473.62364975450083,True,False,beyond_final_n_cap_or_node_order
A81758FFFE03101D,0.7427964344941956,0.8271144278606966,0.8564987562189055,14333,50.35704859235312,470.71066768994626,True,False,beyond_final_n_cap_or_node_order
A81758FFFE03101E,0.8291873963515755,0.8387748756218906,0.6155161691542289,0,0.0,,True,False,few_train_obs|low_variability
A81758FFFE03101F,0.7603648424543947,0.8165422885572139,0.8616293532338308,14671,145.10415492124864,453.5353418308227,True,False,beyond_final_n_cap_or_node_order
A81758FFFE031020,0.7613495024875622,0.8034825870646766,0.8865049751243781,14691,86.68209802638977,439.8339799877476,True,False,beyond_final_n_cap_or_node_order
A81758FFFE031021,0.7916148424543947,0.7720771144278606,0.8526119402985075,15274,27.529175574039822,417.3978656540526,True,False,beyond_final_n_cap_or_node_order
A81758FFFE031022,0.7647699004975125,0.7876243781094527,0.8126554726368159,14756,62.58737519272351,531.0217538628355,True,False,beyond_final_n_cap_or_node_order
A81758FFFE031023,0.808768656716418,0.8751554726368159,0.871113184079602,15606,39.32561619352807,415.521466102781,True,False,beyond_final_n_cap_or_node_order
A81758FFFE031024,0.668117744610282,0.6851679104477612,0.7764303482587065,12891,123.55163315126165,549.8315103560624,True,False,beyond_final_n_cap_or_node_order
A81758FFFE031027,0.623082504145937,0.7374067164179104,0.7405161691542289,12022,64.482133152509,419.1267675927466,True,False,beyond_final_n_cap_or_node_order
A81758FFFE031028,0.7791770315091211,0.8575870646766169,0.8684701492537313,15035,48.54803840707536,254.7305620219488,True,False,beyond_final_n_cap_or_node_order
A81758FFFE031029,0.7916148424543947,0.8445273631840796,0.8865049751243781,15274,71.35841726388188,445.7446641351316,True,False,beyond_final_n_cap_or_node_order
A81758FFFE03102A,0.7969527363184079,0.8013059701492538,0.8774875621890548,15378,39.81407258944455,410.1989855637924,True,False,beyond_final_n_cap_or_node_order
A81758FFFE03102B,0.8134846600331676,0.847636815920398,0.8874378109452736,15697,38.4439387926541,408.78511817544756,True,False,beyond_final_n_cap_or_node_order
A81758FFFE03102C,0.767672056384743,0.7977300995024875,0.837997512437811,14812,43.74093838774805,447.16851201728326,True,False,beyond_final_n_cap_or_node_order
A81758FFFE03102D,0.8160240464344942,0.8129664179104478,0.880907960199005,15746,41.75031147244702,416.83011558491046,True,False,beyond_final_n_cap_or_node_order
A81758FFFE03102F,0.6604477611940298,0.6944962686567164,0.6459888059701493,12743,82.70236391584771,407.17931413324965,True,False,beyond_final_n_cap_or_node_order
A81758FFFE031030,0.7721289386401327,0.871268656716418,0.8810634328358209,14898,53.27346629497811,358.5475902805746,True,False,beyond_final_n_cap_or_node_order
A81758FFFE031031,0.8113080431177446,0.8507462686567164,0.681592039800995,15653,16.726911808498905,254.20149492110139,True,False,beyond_final_n_cap_or_node_order
A81758FFFE031032,0.683509535655058,0.7296330845771144,0.8003731343283582,13189,16.236092835255754,416.7455455303662,True,False,beyond_final_n_cap_or_node_order
A81758FFFE031033,0.80462271973466,0.8212064676616916,0.8868159203980099,15525,52.584922268890814,442.74518518518516,True,False,beyond_final_n_cap_or_node_order
A81758FFFE031034,0.8201181592039801,0.853389303482587,0.8838619402985075,15825,47.36133111625218,416.9303001579779,True,False,beyond_final_n_cap_or_node_order
A81758FFFE031035,0.8102715588723052,0.8701803482587065,0.8745335820895522,15634,42.43882244365819,503.8729691697582,True,False,beyond_final_n_cap_or_node_order
A81758FFFE031036,0.7254353233830846,0.7866915422885572,0.8165422885572139,13997,78.5814068872169,469.689433450025,True,False,beyond_final_n_cap_or_node_order
A81758FFFE031037,0.6915422885572139,0.7526430348258707,0.7605721393034826,13343,80.32671168310628,521.2155437307952,True,False,beyond_final_n_cap_or_node_order
A81758FFFE031038,0.7397906301824212,0.7950870646766169,0.8550995024875622,14275,41.143951757909605,336.51194395796847,True,False,beyond_final_n_cap_or_node_order
A81758FFFE031039,0.7819237147595357,0.8662935323383084,0.8835509950248757,15087,53.33899903752672,426.0530920660171,True,False,beyond_final_n_cap_or_node_order
A81758FFFE03103A,0.7766894693200663,0.8509017412935324,0.8498134328358209,14987,61.73737769960839,406.8376593047308,True,False,beyond_final_n_cap_or_node_order
A81758FFFE03103C,0.6193511608623549,0.7518656716417911,0.715018656716418,11951,70.18284967777684,548.0533009789975,True,False,beyond_final_n_cap_or_node_order
A81758FFFE03103D,0.7924440298507462,0.820273631840796,0.8760883084577115,15186,608.975788842267,566.5910707230344,True,False,beyond_final_n_cap_or_node_order
A81758FFFE03103F,0.7647180762852405,0.8454601990049752,0.8743781094527363,14755,50.646770660550466,272.04567943070145,True,False,beyond_final_n_cap_or_node_order
A81758FFFE031040,0.7546641791044776,0.777363184079602,0.8526119402985075,14561,57.67211028206593,465.3302657784493,True,False,beyond_final_n_cap_or_node_order
A81758FFFE031041,0.7980928689883914,0.8207400497512438,0.8726679104477612,15399,63.56508527450823,605.8576530943568,True,False,beyond_final_n_cap_or_node_order
A81758FFFE031043,0.7692786069651741,0.8268034825870647,0.8852611940298507,14843,49.68830896890153,439.5241527992993,True,False,beyond_final_n_cap_or_node_order
A81758FFFE031044,0.7150704809286899,0.6767723880597015,0.7459577114427861,13798,61.178503919068675,582.3030874039716,True,False,beyond_final_n_cap_or_node_order
A81758FFFE031045,0.6597740464344942,0.5576803482587065,0.6489427860696517,12730,61.53775503459323,485.2250589159466,True,False,beyond_final_n_cap_or_node_order
A81758FFFE031046,0.8094941956882256,0.8118781094527363,0.8905472636815921,15619,55.07473359895753,506.71028875088035,True,False,beyond_final_n_cap_or_node_order
A81758FFFE031048,0.7970563847429519,0.8715796019900498,0.8557213930348259,15379,51.66875589294756,460.0492879901164,True,False,beyond_final_n_cap_or_node_order
A81758FFFE031049,0.7633188225538972,0.820429104477612,0.8292910447761194,14729,55.29416858491408,580.787697739154,True,False,beyond_final_n_cap_or_node_order
A81758FFFE03104C,0.45144071310116085,0.3829291044776119,0.5139925373134329,8711,26.132307611855204,538.1638158649982,True,False,beyond_final_n_cap_or_node_order
A81758FFFE03104D,0.7875207296849088,0.7838930348258707,0.8523009950248757,15196,25.381277818232842,467.2706633324559,True,False,beyond_final_n_cap_or_node_order
A81758FFFE03104E,0.6997305140961857,0.8342661691542289,0.8207400497512438,13501,54.99484324973237,418.73453818235686,True,False,beyond_final_n_cap_or_node_order
A81758FFFE03104F,0.7970563847429519,0.8157649253731343,0.8851057213930348,15379,55.17414199530679,476.78041485142074,True,False,beyond_final_n_cap_or_node_order
A81758FFFE031050,0.8043635986733002,0.8591417910447762,0.8840174129353234,15520,20.96289090812394,515.063337628866,True,False,beyond_final_n_cap_or_node_order
A81758FFFE031051,0.7952943615257048,0.7907338308457711,0.8650497512437811,15345,62.07333436750422,615.2130335614206,True,False,beyond_final_n_cap_or_node_order
